row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua triệu đồng,Các điều chỉnh giá trị hợp lý triệu đồng,Giá trị ghi nhận tại thời điểm mua triệu đồng,numeric__Giá trị ghi sổ trước thời điểm mua triệu đồng,numeric__Các điều chỉnh giá trị hợp lý triệu đồng,numeric__Giá trị ghi nhận tại thời điểm mua triệu đồng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,66.393,-,66.393,66393.0,,66393.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,161.000,-,161.000,161000.0,,161000.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,422.364,-,422.364,422364.0,,422364.0
Chứng khoán nằm giữ đến ngày đáo hạn,Chứng khoán nằm giữ đến ngày đáo hạn,Chứng khoán nằm giữ đến ngày đáo hạn,111.600,-,111.600,111600.0,,111600.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.589,-,6.589,6589.0,,6589.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,399,-,399,399.0,,399.0
Tài sản có khác,Tài sản có khác,Tài sản có khác,509.630,-,509.630,509630.0,,509630.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,(768.545),-,(768.545),-768545.0,,-768545.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,509.430,-,509.430,509430.0,,509430.0
Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17)Lợi ích của cổ đông thiểu số(Thuyết minh 25.1),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17)Lợi ích của cổ đông thiểu số(Thuyết minh 25.1),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17)Lợi ích của cổ đông thiểu số(Thuyết minh 25.1),,,145.262(10.187),,,
Khoản thanh toán cho việc mua lại,Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17)Lợi ích của cổ đông thiểu số(Thuyết minh 25.1) > Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,644.505,,,644505.0
