row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
,,,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Đến 1 tháng triệu đồng,Từ 1 – 3 tháng triệu đồng,Từ 3 – 6 tháng triệu đồng,Từ 6 – 12 tháng triệu đồng,Từ 1 – 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.658.493,-,-,-,-,-,-,2.658.493,,2658493.0,,,,,,,2658493.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,9.935.379,-,-,-,-,-,9.935.379,,,9935379.0,,,,,,9935379.0
Tiền gửi tại và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác – gộp,Tiền gửi tại và cho vay các TCTD khác – gộp,-,-,37.335.057,7.412.632,2.657.954,559.850,-,-,47.965.493,,,37335057.0,7412632.0,2657954.0,559850.0,,,47965493.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,5.529.733,1.095.962,555.916,389.817,279.211,-,7.850.639,,,5529733.0,1095962.0,555916.0,389817.0,279211.0,,7850639.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,27.246.708,-,226.659.813,69.100.376,32.019.132,40.557.107,42.757.160,897.687,439.237.983,27246708.0,,226659813.0,69100376.0,32019132.0,40557107.0,42757160.0,897687.0,439237983.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,15.357,10.695.526,19.330.451,7.070.734,6.974.429,13.203.398,26.038.602,83.328.497,,15357.0,10695526.0,19330451.0,7070734.0,6974429.0,13203398.0,26038602.0,83328497.0
Gộp vốn đầu tư dài hạn – gộp,Tài sản > Gộp vốn đầu tư dài hạn – gộp,Gộp vốn đầu tư dài hạn – gộp,-,189.210,-,-,-,-,-,-,189.210,,189210.0,,,,,,,189210.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.858.126,-,-,-,-,-,-,1.858.126,,1858126.0,,,,,,,1858126.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,118.496,50.938.650,922.737,62.157,521,17.961,427,-,52.060.949,118496.0,50938650.0,922737.0,62157.0,521.0,17961.0,427.0,,52060949.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,27.365.204,55.659.836,291.078.245,97.001.578,42.304.257,48.499.164,56.240.196,26.936.289,645.084.769,27365204.0,55659836.0,291078245.0,97001578.0,42304257.0,48499164.0,56240196.0,26936289.0,645084769.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.135,1.915.908,5.002,188,-,-,1.929.233,,,8135.0,1915908.0,5002.0,188.0,,,1929233.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,60.997.988,35.648.568,29.733.467,13.869.093,-,-,140.249.116,,,60997988.0,35648568.0,29733467.0,13869093.0,,,140249116.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,103.206.901,53.742.097,93.927.964,41.326.262,10.946.836,1.357,303.151.417,,,103206901.0,53742097.0,93927964.0,41326262.0,10946836.0,1357.0,303151417.0
