row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.127,1.487.276,1.552.403,65127.0,1487276.0,1552403.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,54.256,54.256,,54256.0,54256.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,102.964,102.964,,102964.0,102964.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(100),(100),,-100.0,-100.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,65.127,1.644.396,1.709.523,65127.0,1644396.0,1709523.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,868,895.519,896.387,868.0,895519.0,896387.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,-,182.859,182.859,,182859.0,182859.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(8.641),(8.641),,-8641.0,-8641.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(100),(100),,-100.0,-100.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,868,1.069.637,1.070.505,868.0,1069637.0,1070505.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,64.259,591.757,656.016,64259.0,591757.0,656016.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.259,574.759,639.018,64259.0,574759.0,639018.0
