row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2022triệu đồng,%,Ngày 31 tháng 12năm 2021triệu đồng,%_1,numeric__Ngày 31 tháng12 năm 2022triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2021triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,906.593,"0,21",1.086.930,"0,31",906593.0,0.21,1086930.0,0.31
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,43.668,"0,01",281.375,"0,08",43668.0,0.01,281375.0,0.08
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,8.742,"0,00",26.446,"0,01",8742.0,0.0,26446.0,0.01
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,80.118.421,"18,28",66.432.340,"18,70",80118421.0,18.28,66432340.0,18.7
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,81.251,"0,02",107.926,"0,03",81251.0,0.02,107926.0,0.03
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,99.750.288,"22,76",91.086.560,"25,64",99750288.0,22.76,91086560.0,25.64
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,1.064,"0,00",750,"0,00",1064.0,0.0,750.0,0.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,73.521,"0,02",553.435,"0,16",73521.0,0.02,553435.0,0.16
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,73.039,"0,02",99.576,"0,03",73039.0,0.02,99576.0,0.03
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,81.571,"0,02",93.417,"0,03",81571.0,0.02,93417.0,0.03
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",257.194.544,"58,66",195.511.733,"55,01",257194544.0,58.66,195511733.0,55.01
"Đơn vị hành chính sự nghiệp, Đàng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đàng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đàng, đoàn thể và hiệp hội",4.924,"0,00",-,-,4924.0,0.0,,
Khác,Khác,Khác,421,"0,00",731,"0,00",421.0,0.0,731.0,0.0
,,,438.338.047,100,355.281.219,100,438338047.0,100.0,355281219.0,100.0
