row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua triệu đồng,Các điều chỉnh giá trị hợp lý triệu đồng,Giá trị ghi nhận tại thời điểm mua triệu đồng,numeric__Giá trị ghi sổ trước thời điểm mua triệu đồng,numeric__Các điều chỉnh giá trị hợp lý triệu đồng,numeric__Giá trị ghi nhận tại thời điểm mua triệu đồng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,234.241,-,234.241,234241.0,,234241.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,46.362,-,46.362,46362.0,,46362.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,191,-,191,191.0,,191.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,440,-,440,440.0,,440.0
Tài sản có khác,Tài sản có khác,Tài sản có khác,23.122,-,23.122,23122.0,,23122.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,(31.145),-,(31.145),-31145.0,,-31145.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,273.211,-,273.211,273211.0,,273211.0
Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17),Lợi thế thương mại phát sinh từ việc mua lại(Thuyết minh 17),,,85.905,,,85905.0
Lợi ích của cổ đông thiểu số(Thuyết minh 25.1),Lợi ích của cổ đông thiểu số(Thuyết minh 25.1),Lợi ích của cổ đông thiểu số(Thuyết minh 25.1),,,(7.049),,,-7049.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,352.067,,,352067.0
