row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tàitriệu đồng,Thiết bị dụng cụquản lýtriệu đồng,TSCĐhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tàitriệu đồng,numeric__Thiết bị dụng cụquản lýtriệu đồng,numeric__TSCĐhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.017.139,1.173.399,168.251,133.520,66.716,2.559.025,1017139.0,1173399.0,168251.0,133520.0,66716.0,2559025.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,16.997,32.599,2.047,-,51.643,,16997.0,32599.0,2047.0,,51643.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,111.761,2.687,31.509,-,145.957,,111761.0,2687.0,31509.0,,145957.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.966),(9.896),(3.214),(6.012),(23.088),,-3966.0,-9896.0,-3214.0,-6012.0,-23088.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.017.139,1.298.191,193.641,163.862,60.704,2.733.537,1017139.0,1298191.0,193641.0,163862.0,60704.0,2733537.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,119.675,919.586,120.096,118.840,63.871,1.342.068,119675.0,919586.0,120096.0,118840.0,63871.0,1342068.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,26.413,127.425,16.328,11.525,1.827,183.518,26413.0,127425.0,16328.0,11525.0,1827.0,183518.0
Tăng khác,Giá trị khấu hao luỹ kế > Tăng khác,Tăng khác,-,-,674,10.959,-,11.633,,,674.0,10959.0,,11633.0
Thanh lý,Giá trị khấu hao luỹ kế > Thanh lý,Thanh lý,-,(3.940),(9.716),(3.200),(5.934),(22.790),,-3940.0,-9716.0,-3200.0,-5934.0,-22790.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,146.088,1.043.071,127.382,138.124,59.764,1.514.429,146088.0,1043071.0,127382.0,138124.0,59764.0,1514429.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,897.464,253.813,48.155,14.680,2.845,1.216.957,897464.0,253813.0,48155.0,14680.0,2845.0,1216957.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,871.051,255.120,66.259,25.738,940,1.219.108,871051.0,255120.0,66259.0,25738.0,940.0,1219108.0
