row_label_raw,row_label_full,col_0,Số dưđầu nàm triệu đồng,Phát sinh trong năm,Phát sinh trong năm_1,Phát sinh trong năm_2,Số dưcuối nàm triệu đồng,numeric__Số dưđầu nàm triệu đồng,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Phát sinh trong năm_2,numeric__Số dưcuối nàm triệu đồng
,,,Số dưđầu nàm triệu đồng,Số phải nộp triệu đồng,Tăng khác triệu đồng,Số đã nộp triệu đồng,Số dưcuối nàm triệu đồng,,,,,
Thuế giá trị gia tăng (*),Thuế giá trị gia tăng (*),Thuế giá trị gia tăng (*),60.164,544.056,611,(507.371),97.460,60164.0,544056.0,611.0,-507371.0,97460.0
Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),4.545.027,4.859.848,623,(6.445.272),2.960.226,4545027.0,4859848.0,623.0,-6445272.0,2960226.0
Thuế khác,Thuế khác,Thuế khác,83.914,989.394,806,(973.877),100.237,83914.0,989394.0,806.0,-973877.0,100237.0
,,,4.689.105,6.393.298,2.040,(7.926.520),3.157.923,4689105.0,6393298.0,2040.0,-7926520.0,3157923.0
