row_label_raw,row_label_full,Tên công ty,Được thành lập theo,Ngành hoạt động,Vốn điều lệ % sở hữu,Vốn điều lệ % sở hữu_1,numeric__Được thành lập theo,numeric__Ngành hoạt động,numeric__Vốn điều lệ % sở hữu,numeric__Vốn điều lệ % sở hữu_1
"Công ty Cổ phầnChứng khoánVPBank(""VPBankS"") (i)","Công ty Cổ phầnChứng khoánVPBank(""VPBankS"") (i)","Công ty Cổ phầnChứng khoánVPBank(""VPBankS"") (i)",Giấy phép hoạt động kinh doanhChứng khoán số 106/UBCK-GPdo Ủy ban Chứng khoán Nhà nước cấp ngày 08 tháng 4 năm2009 và Giấy phép Điều chỉnh gần nhất ngày 16 tháng 1 năm2023,Các hoạt động chứng khoán,15.000 tỷ đồng Việt Nam,,,,,
"Công ty Cổ phầnBảo hiểm OPES(""OPES"") (ii)","Công ty Cổ phầnChứng khoánVPBank(""VPBankS"") (i) > Công ty Cổ phầnBảo hiểm OPES(""OPES"") (ii)","Công ty Cổ phầnBảo hiểm OPES(""OPES"") (ii)",Giấy phép thành lập và hoạt động số 79/GP/KDBH do Bộ Tài chính cấp ngày 20 tháng 3 năm2018 và Giấy phép điều chỉnh gần nhất ngày 16 tháng 12 năm2021,Kinh doanh bảo hiểm phi nhân thọ,550 tỷ đồng Việt Nam,98%,,,,0.98
