row_label_raw,row_label_full,col_0,Hoạt động ngân hàng triệu đồng,Hoạt động công ty tài chính triệu đồng,Hoạt động quản lý nợ và khai thác tài sản triệu đồng,Hoạt động chứng khoán triệu đồng,Hoạt động kinh doanh bảo hiểm triệu đồng,Điều chỉnh nội bộ triệu đồng,Tổng cộng triệu đồng,numeric__Hoạt động ngân hàng triệu đồng,numeric__Hoạt động công ty tài chính triệu đồng,numeric__Hoạt động quản lý nợ và khai thác tài sản triệu đồng,numeric__Hoạt động chứng khoán triệu đồng,numeric__Hoạt động kinh doanh bảo hiểm triệu đồng,numeric__Điều chỉnh nội bộ triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,,,
Doanh thu lãi,I. Doanh thu > Doanh thu lãi,Doanh thu lãi,43.674.965,18.943.288,3.414,474.878,11.829,(908.124),62.200.250,43674965.0,18943288.0,3414.0,474878.0,11829.0,-908124.0,62200250.0
Lãi thuần từ hoạt động dịch vụ,I. Doanh thu > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,5.981.755,334.242,-,55.809,6.674,59.272,6.437.752,5981755.0,334242.0,,55809.0,6674.0,59272.0,6437752.0
Lãi thuần từ hoạt động kinh doanh khác,I. Doanh thu > Lãi thuần từ hoạt động kinh doanh khác,Lãi thuần từ hoạt động kinh doanh khác,9.003.533,1.322.848,332,193.184,(135),(181.483),10.338.279,9003533.0,1322848.0,332.0,193184.0,-135.0,-181483.0,10338279.0
,,,58.660.253,20.600.378,3.746,723.871,18.368,(1.030.335),78.976.281,58660253.0,20600378.0,3746.0,723871.0,18368.0,-1030335.0,78976281.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,,,
Chi phí lãi,II. Chi phí > Chi phí lãi,Chi phí lãi,(18.068.868),(3.950.681),-,(13.642),-,853.999,(21.179.192),-18068868.0,-3950681.0,,-13642.0,,853999.0,-21179192.0
Chi phí khấu hao tài sản cố định,II. Chi phí > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,(257.651),(105.998),-,(2.075),(653),-,(366.377),-257651.0,-105998.0,,-2075.0,-653.0,,-366377.0
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(7.585.154),(5.983.132),(290),(166.493),(22.863),8.578,(13.749.354),-7585154.0,-5983132.0,-290.0,-166493.0,-22863.0,8578.0,-13749354.0
,,,(25.911.673),(10.039.811),(290),(182.210),(23.516),862.577,(35.294.923),-25911673.0,-10039811.0,-290.0,-182210.0,-23516.0,862577.0,-35294923.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,32.748.580,10.560.567,3.456,541.661,(5.148),(167.758),43.681.358,32748580.0,10560567.0,3456.0,541661.0,-5148.0,-167758.0,43681358.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(8.743.516),(13.681.557),-,-,-,(36.153),(22.461.226),-8743516.0,-13681557.0,,,,-36153.0,-22461226.0
