row_label_raw,row_label_full,col_0,Chưa quá hạn triệu đồng,Đã quá hạn và chưa bị giảm giá triệu đồng,Đã quá hạn và đã trích lập dự phòng triệu đồng,Tổng cộng triệu đồng,numeric__Chưa quá hạn triệu đồng,numeric__Đã quá hạn và chưa bị giảm giá triệu đồng,numeric__Đã quá hạn và đã trích lập dự phòng triệu đồng,numeric__Tổng cộng triệu đồng
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,47.965.493,-,-,47.965.493,47965493.0,,,47965493.0
- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,40.771.879,-,-,40.771.879,40771879.0,,,40771879.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,7.193.614,-,-,7.193.614,7193614.0,,,7193614.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,7.850.639,-,-,7.850.639,7850639.0,,,7850639.0
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,390.263.171,1.920.094,47.054.718,439.237.983,390263171.0,1920094.0,47054718.0,439237983.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,83.328.497,-,-,83.328.497,83328497.0,,,83328497.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,82.718.218,-,-,82.718.218,82718218.0,,,82718218.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,610.279,-,-,610.279,610279.0,,,610279.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,51.942.453,1.158,117.338,52.060.949,51942453.0,1158.0,117338.0,52060949.0
Tổng cộng,Tổng cộng,Tổng cộng,581.350.253,1.921.252,47.172.056,630.443.561,581350253.0,1921252.0,47172056.0,630443561.0
