row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng rủi ro trong năm,Năm 2022 triệu đồng > 52.327 > 27.332,Năm 2021 triệu đồng > 40.278 > 12.049,numeric__Năm 2022 triệu đồng > 52.327 > 27.332,numeric__Năm 2021 triệu đồng > 40.278 > 12.049
Trong đó:,Trong đó:,Trong đó:,,,,
Trích lập/(Hoàn nhập) dự phòng tài sản có rủi ro tín dụng (Thuyết minh số 36),Trong đó: > Trích lập/(Hoàn nhập) dự phòng tài sản có rủi ro tín dụng (Thuyết minh số 36),Trích lập/(Hoàn nhập) dự phòng tài sản có rủi ro tín dụng (Thuyết minh số 36),537,(556),537.0,-556.0
Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 35),Trong đó: > Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 35),Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 35),26.795,12.605,26795.0,12605.0
Tăng khác,Trong đó: > Tăng khác,Tăng khác,17,-,17.0,
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,79.676,52.327,79676.0,52327.0
