row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 triệu đồng,Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.658.493,2.345.733,5.0,2658493.0,2345733.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,9.935.379,10.860.730,6.0,9935379.0,10860730.0
Tiền gửi và cấp tín dụng các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi và cấp tín dụng các tổ chức tín dụng (“TCTD”) khác,Tiền gửi và cấp tín dụng các tổ chức tín dụng (“TCTD”) khác,,47.965.493,57.104.628,,47965493.0,57104628.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,40.771.879,40.329.730,71.0,40771879.0,40329730.0
Cấp tín dụng các TCTD khác,TÀI SẢN > Cấp tín dụng các TCTD khác,Cấp tín dụng các TCTD khác,7.2,7.193.614,16.858.044,72.0,7193614.0,16858044.0
Dự phòng tiền gửi và cấp tín dụng các TCTD khác,TÀI SẢN > Dự phòng tiền gửi và cấp tín dụng các TCTD khác,Dự phòng tiền gửi và cấp tín dụng các TCTD khác,7.3,-,(83.146),73.0,,-83146.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,7.793.447,6.970.941,8.0,7793447.0,6970941.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,7.850.639,7.005.061,,7850639.0,7005061.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(57.192),(34.120),,-57192.0,-34120.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,103.299,9.0,,103299.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,424.662.382,345.390.282,,424662382.0,345390282.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,438.338.047,355.281.219,10.0,438338047.0,355281219.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(13.675.665),(9.890.937),11.0,-13675665.0,-9890937.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,893.186,958.690,12.0,893186.0,958690.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,899.936,965.935,,899936.0,965935.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(6.750),(7.245),,-6750.0,-7245.0
