row_label_raw,row_label_full,col_0,Mức tănglãi suất,Ảnh hưởng đế,Ảnh hưởng đế_1,numeric__Mức tănglãi suất,numeric__Ảnh hưởng đế,numeric__Ảnh hưởng đế_1
,,,Mức tănglãi suất,Lợi nhuậntrước thuếtriệu đồng,Lợi nhuận sau thuếvà Vốn chủ sở hữutriệu đồng,,,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,
USD,Tại ngày 31 tháng 12 năm 2022 > USD,USD,"1,50%",(124.846),(99.877),0.015,-124846.0,-99877.0
VND,Tại ngày 31 tháng 12 năm 2022 > VND,VND,"3,00%",1.814.806,1.451.845,0.03,1814806.0,1451845.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,
USD,Tại ngày 31 tháng 12 năm 2021 > USD,USD,"1,50%",(246.979),(197.583),0.015,-246979.0,-197583.0
VND,Tại ngày 31 tháng 12 năm 2021 > VND,VND,"3,00%",1.755.215,1.404.172,0.03,1755215.0,1404172.0
