row_label_raw,row_label_full,Họ và tên,Chức vụ,numeric__Chức vụ
Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Tổng Giám đốc,
Bà Lưu Thị Thảo,Bà Lưu Thị Thảo,Bà Lưu Thị Thảo,Phó Tổng Giám đốc thường trực,
Ông Phùng Duy Khương,Ông Phùng Duy Khương,Ông Phùng Duy Khương,Phó Tổng Giám đốc thường trực phụ trách phía Nam,
Ông Nguyễn Thanh Bình,Ông Nguyễn Thanh Bình,Ông Nguyễn Thanh Bình,Phó Tổng Giám đốc,
Ông Phan Ngọc Hòa,Ông Phan Ngọc Hòa,Ông Phan Ngọc Hòa,Phó Tổng Giám đốc(đến ngày 10 tháng 5 năm 2022),
Bà Dương Thị Thu Thủy,Bà Dương Thị Thu Thủy,Bà Dương Thị Thu Thủy,Phó Tổng Giám đốc,
Ông Nguyễn Thành Long,Ông Nguyễn Thành Long,Ông Nguyễn Thành Long,Phó Tổng Giám đốc,
Ông Phạm Phú Khôi,Ông Phạm Phú Khôi,Ông Phạm Phú Khôi,Phó Tổng Giám đốc,
Ông Đình Văn Nho,Ông Đình Văn Nho,Ông Đình Văn Nho,Phó Tổng Giám đốc,
Bà Phạm Thị Nhung,Bà Phạm Thị Nhung,Bà Phạm Thị Nhung,Phó Tổng Giám đốc,
