row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2021VND > -,Số phát sinh trong năm VND > 285.074.260,Số đã nộp trong năm VND > (202.948.085),Số đã cán trừ/được hoàn trong năm VND > (31.062.519),31/12/2021VND > 51.063.656,numeric__1/1/2021VND > -,numeric__Số phát sinh trong năm VND > 285.074.260,numeric__Số đã nộp trong năm VND > (202.948.085),numeric__Số đã cán trừ/được hoàn trong năm VND > (31.062.519),numeric__31/12/2021VND > 51.063.656
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.621.894.902,28.776.343.409,(29.286.179.828),(3.577.172.902),534.885.581,4621894902.0,28776343409.0,-29286179828.0,-3577172902.0,534885581.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,105.900.674,(105.900.674),-,-,,105900674.0,-105900674.0,,
,,,4.621.894.902,29.167.318.343,(29.595.028.587),(3.608.235.421),585.949.237,4621894902.0,29167318343.0,-29595028587.0,-3608235421.0,585949237.0
