row_label_raw,row_label_full,col_0,col_1,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__col_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4
,,,,MNS Feed VND,MNS Meat VND,3F VIỆT VND,Khác VND,Tổng VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,7.283.990.000.000,2.000.003.000.000,614.774.300.000,897.200.000,9.899.664.500.000,,7283990000000.0,2000003000000.0,614774300000.0,897200000.0,9899664500000.0
Tăng đầu tư,Tăng đầu tư,Tăng đầu tư,Tăng đầu tư,-,700.000.000.000,-,-,700.000.000.000,,,700000000000.0,,,700000000000.0
Thanh lý các khoản đầu tư,Thanh lý các khoản đầu tư,Thanh lý các khoản đầu tư,Thanh lý các khoản đầu tư,(7.283.990.000.000),-,-,(897.200.000),(7.284.887.200.000),,-7283990000000.0,,,-897200000.0,-7284887200000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,2.700.003.000.000,614.774.300.000,-,3.314.777.300.000,,,2700003000000.0,614774300000.0,,3314777300000.0
Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,Thông tin chỉ tiết của các công ty con như sau:,,,,,,
Tên,Tên,Tên,Tên,Trụ sở,Trụ sở,Hoạt động chính,Hoạt động chính,Hoạt động chính,,,,,,
Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,Công ty TNHH MNS Meat,"Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom,Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom,Tỉnh Đồng Nai, Việt Nam","Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Tràng Bom,Tỉnh Đồng Nai, Việt Nam",Tư vấn quản lý đầu tư,Tư vấn quản lý đầu tư,Tư vấn quản lý đầu tư,,,,,,
Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,"68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh,Việt Nam","68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh,Việt Nam","68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh,Việt Nam",Chăn nuôi gia cầm và chế biến và bảo quảnthịt và các sản phẩm chế biến từ thịt gia cầm,Chăn nuôi gia cầm và chế biến và bảo quảnthịt và các sản phẩm chế biến từ thịt gia cầm,Chăn nuôi gia cầm và chế biến và bảo quảnthịt và các sản phẩm chế biến từ thịt gia cầm,,,,,,
