row_label_raw,row_label_full,col_0,Loại tiền tệ,Lãi suất năm,31/12/2021 VND,1/1/2021 VND,numeric__Loại tiền tệ,numeric__Lãi suất năm,numeric__31/12/2021 VND,numeric__1/1/2021 VND
Các khoản vay ngân hàng không được đảm bảo,Các khoản vay ngân hàng không được đảm bảo,Các khoản vay ngân hàng không được đảm bảo,VND,"3,4%",29.300.000.000,593.210.000.000,,0.034,29300000000.0,593210000000.0
Khoản vay không đảm bảo từ Công ty Cổ phần Tầm nhìn,Khoản vay không đảm bảo từ Công ty Cổ phần Tầm nhìn,Khoản vay không đảm bảo từ Công ty Cổ phần Tầm nhìn,VND,"6,5%",-,400.000.000.000,,0.065,,400000000000.0
"Masan, một công ty liên quan","Masan, một công ty liên quan","Masan, một công ty liên quan",,,29.300.000.000,993.210.000.000,,,29300000000.0,993210000000.0
