row_label_raw,row_label_full,col_0,Loại tiền tệ,Lãi suất năm,Năm đáo hạn,31/12/2021 VND,1/1/2021 VND,numeric__Loại tiền tệ,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2021 VND,numeric__1/1/2021 VND
Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,Trái phiếu phát hành theo mệnh giá,,,,,
▪ Trái phiếu số MMLB2126001,Trái phiếu phát hành theo mệnh giá > ▪ Trái phiếu số MMLB2126001,▪ Trái phiếu số MMLB2126001,VND,"9,5%",2026,1.999.980.000.000,-,,0.095,2026.0,1999980000000.0,
Chi phí phát hành trái phiếu chưa phân bổ,Trái phiếu phát hành theo mệnh giá > Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,,,,(33.332.683.963),-,,,,-33332683963.0,
,,,,,,1.966.647.316.037,-,,,,1966647316037.0,
