row_label_raw,row_label_full,col_0,31/12/2023 > % sở hữu trên vốn điều lệ,31/12/2023 > % quyền biểu quyết trên vốn điều lệ,31/12/2023 > Giá gốc Triệu VND,31/12/2023 > Dự phòng giảm giá Triệu VND,31/12/2023 > Giá trị hợp lý Triệu VND,1/1/2023 > % sở hữu trên vốn điều lệ,1/1/2023 > % quyền biểu quyết trên vốn điều lệ,1/1/2023 > Giá gốc Triệu VND,1/1/2023 > Dự phòng giảm giá Triệu VND,1/1/2023 > Giá trị hợp lý Triệu VND,numeric__31/12/2023 > % sở hữu trên vốn điều lệ,numeric__31/12/2023 > % quyền biểu quyết trên vốn điều lệ,numeric__31/12/2023 > Giá gốc Triệu VND,numeric__31/12/2023 > Dự phòng giảm giá Triệu VND,numeric__31/12/2023 > Giá trị hợp lý Triệu VND,numeric__1/1/2023 > % sở hữu trên vốn điều lệ,numeric__1/1/2023 > % quyền biểu quyết trên vốn điều lệ,numeric__1/1/2023 > Giá gốc Triệu VND,numeric__1/1/2023 > Dự phòng giảm giá Triệu VND,numeric__1/1/2023 > Giá trị hợp lý Triệu VND
"• Công ty Cổ phần Trusting Social (""TSVN"") (i)","• Công ty Cổ phần Trusting Social (""TSVN"") (i)","• Công ty Cổ phần Trusting Social (""TSVN"") (i)","25,1%","25,1%",1.511.280,-,(*),"25,1%","25,1%",1.511.280,-,(*),0.251,0.251,1511280.0,,,0.251,0.251,1511280.0,,
"• Nyobolt Limited (""Nyobolt"") (ii)","• Nyobolt Limited (""Nyobolt"") (ii)","• Nyobolt Limited (""Nyobolt"") (ii)","15,0%","15,0%",1.426.422,-,(*),"15,0%","15,0%",1.342.363,-,(*),0.15,0.15,1426422.0,,,0.15,0.15,1342363.0,,
,,,,,2.937.702,-,,,,2.853.643,-,,,,2937702.0,,,,,2853643.0,,
