row_label_raw,row_label_full,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương > ▪ Trái phiếu được đảm bảo > ▪ Trái phiếu không đảm bảo,31/12/2023Triệu VND > 5.284.000 > 4.899.980,1/1/2023Triệu VND > 11.261.434 > 17.452.341,Ngàyđáo hạn > 2024 -2027 > 2024 -2026,"Lãi suất > Từ 9,2% đến 10,2% một năm trong năm đầu tiên, và từ 3,3% đến5,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại > Từ 9,3% đến 11,5% một năm trong năm đầu tiên, và từ 2,5% đến4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại","Tài sảnthẻ chấp > (i), (iii),(iv), (v) > Không",numeric__31/12/2023Triệu VND > 5.284.000 > 4.899.980,numeric__1/1/2023Triệu VND > 11.261.434 > 17.452.341,numeric__Ngàyđáo hạn > 2024 -2027 > 2024 -2026,"numeric__Lãi suất > Từ 9,2% đến 10,2% một năm trong năm đầu tiên, và từ 3,3% đến5,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại > Từ 9,3% đến 11,5% một năm trong năm đầu tiên, và từ 2,5% đến4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại","numeric__Tài sảnthẻ chấp > (i), (iii),(iv), (v) > Không"
Công ty Cổ phần Chứng khoán VPS,Công ty Cổ phần Chứng khoán VPS,Công ty Cổ phần Chứng khoán VPS,,,,,,,,,,
▪ Trái phiếu được đảm bảo,Công ty Cổ phần Chứng khoán VPS > ▪ Trái phiếu được đảm bảo,▪ Trái phiếu được đảm bảo,3.000.000,3.000.000,2025,"9,9% một năm trong năm đầu tiên, 10,9% một năm trong năm thứ 2 và 3,9% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại","(ii), (v)",3000000.0,3000000.0,2025.0,,
Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,Công ty Cổ phần Chứng khoán MB,,,,,,,,,,
▪ Trái phiếu được đảm bảo,Công ty Cổ phần Chứng khoán MB > ▪ Trái phiếu được đảm bảo,▪ Trái phiếu được đảm bảo,1.140.000,1.500.000,2026,"9,2% một năm trong năm đầu tiên và 3,2% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại","(i), (v)",1140000.0,1500000.0,2026.0,,
▪ Trái phiếu không đảm bảo,Công ty Cổ phần Chứng khoán MB > ▪ Trái phiếu không đảm bảo,▪ Trái phiếu không đảm bảo,50.250,-,2028,"Từ 11,45% đến 11,65% một năm trong năm đầu tiên và 4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại",Không,50250.0,,2028.0,,
Công ty TNHH Chứng khoán Ngân hàngThương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàngThương mại Cổ phần Ngoại thương Việt Nam,Công ty TNHH Chứng khoán Ngân hàngThương mại Cổ phần Ngoại thương Việt Nam,,,,,,,,,,
▪ Trái phiếu không đảm bảo,Công ty TNHH Chứng khoán Ngân hàngThương mại Cổ phần Ngoại thương Việt Nam > ▪ Trái phiếu không đảm bảo,▪ Trái phiếu không đảm bảo,1.700.000,1.700.000,2027,"4,1% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại",Không,1700000.0,1700000.0,2027.0,,
Công ty Cổ phần Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,Công ty Cổ phần Chứng khoán VPBank,,,,,,,,,,
▪ Trái phiếu được đảm bảo,Công ty Cổ phần Chứng khoán VPBank > ▪ Trái phiếu được đảm bảo,▪ Trái phiếu được đảm bảo,500.000,500.000,2027,"9,3% một năm trong năm đầu tiên và 4,24% một năm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thời gian còn lại","(iii), (vi)",500000.0,500000.0,2027.0,,
Tổng trái phiếu thường dài hạn theo mệnh giá,Công ty Cổ phần Chứng khoán VPBank > Tổng trái phiếu thường dài hạn theo mệnh giá,Tổng trái phiếu thường dài hạn theo mệnh giá,16.574.230,35.413.775,,,,16574230.0,35413775.0,,,
Khoản đến hạn trả trong vòng 12 tháng,Công ty Cổ phần Chứng khoán VPBank > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(5.479.909),(22.187.234),,,,-5479909.0,-22187234.0,,,
Chi phí phát hành trái phiếu chưa phân bổ,Công ty Cổ phần Chứng khoán VPBank > Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,(139.181),(270.947),,,,-139181.0,-270947.0,,,
Khoản đến hạn trả sau 12 tháng,Công ty Cổ phần Chứng khoán VPBank > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,10.955.140,12.955.594,,,,10955140.0,12955594.0,,,
