row_label_raw,row_label_full,col_0,Sản phẩm tiêu dùng có thương hiệu,Sản phẩm tiêu dùng có thương hiệu_1,MEATLife,MEATLife_1,Vật liệu công nghệ cao,Vật liệu công nghệ cao_1,Bán lẻ tiêu dùng,Bán lẻ tiêu dùng_1,Khác,Khác_1,Tổng,Tổng_1,numeric__Sản phẩm tiêu dùng có thương hiệu,numeric__Sản phẩm tiêu dùng có thương hiệu_1,numeric__MEATLife,numeric__MEATLife_1,numeric__Vật liệu công nghệ cao,numeric__Vật liệu công nghệ cao_1,numeric__Bán lẻ tiêu dùng,numeric__Bán lẻ tiêu dùng_1,numeric__Khác,numeric__Khác_1,numeric__Tổng,numeric__Tổng_1
,,,31/12/2023Triệu VND,1/1/2023Triệu VND,31/12/2023Triệu VND,1/1/2023Triệu VND,31/12/2023Triệu VND,1/1/2023Triệu VND,31/12/2023Triệu VND,1/1/2023Triệu VND,31/12/2023Triệu VND,1/1/2023Triệu VND,31/12/2023Triệu VND,1/1/2023Triệu VND,,,,,,,,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,37.198.492,28.610.561,9.223.291,9.938.529,39.846.461,40.964.993,21.432.683,20.726.133,33.191.309,28.800.403,140.892.236,129.040.619,37198492.0,28610561.0,9223291.0,9938529.0,39846461.0,40964993.0,21432683.0,20726133.0,33191309.0,28800403.0,140892236.0,129040619.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,,6.491.236,12.302.196,,,,,,,,,,,6491236.0,12302196.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,,,147.383.472,141.342.815,,,,,,,,,,,147383472.0,141342815.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,14.641.011,11.860.939,7.254.785,7.297.134,21.724.716,24.774.892,12.801.432,15.198.042,3.218.018,867.341,59.639.962,59.998.348,14641011.0,11860939.0,7254785.0,7297134.0,21724716.0,24774892.0,12801432.0,15198042.0,3218018.0,867341.0,59639962.0,59998348.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,,,49.506.269,44.707.728,,,,,,,,,,,49506269.0,44707728.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,,,109.146.231,104.706.076,,,,,,,,,,,109146231.0,104706076.0
,,,2023Triệu VND,2022Triệu VND,2023Triệu VND,2022Triệu VND,2023Triệu VND,2022Triệu VND,2023Triệu VND,2022Triệu VND,2023Triệu VND,2022Triệu VND,2023Triệu VND,2022Triệu VND,,,,,,,,,,,,
Chi tiểu vốn,Chi tiểu vốn,Chi tiểu vốn,589.598,1.372.469,257.285,667.447,842.029,1.330.036,249.472,467.634,288.422,320.871,2.226.806,4.158.457,589598.0,1372469.0,257285.0,667447.0,842029.0,1330036.0,249472.0,467634.0,288422.0,320871.0,2226806.0,4158457.0
Chi tiểu vốn không phân bổ,Chi tiểu vốn không phân bổ,Chi tiểu vốn không phân bổ,-,-,-,-,-,-,-,-,1.990,6.864,1.990,6.864,,,,,,,,,1990.0,6864.0,1990.0,6864.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,633.041,779.192,371.973,302.436,1.084.475,1.204.204,339.347,604.953,269.393,19.204,2.698.229,2.909.989,633041.0,779192.0,371973.0,302436.0,1084475.0,1204204.0,339347.0,604953.0,269393.0,19204.0,2698229.0,2909989.0
Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,-,-,-,-,-,-,-,-,4.506,5.072,4.506,5.072,,,,,,,,,4506.0,5072.0,4506.0,5072.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,217.339,263.288,116.281,117.591,516.096,613.953,995.156,1.142.294,716.458,280.071,2.561.330,2.417.197,217339.0,263288.0,116281.0,117591.0,516096.0,613953.0,995156.0,1142294.0,716458.0,280071.0,2561330.0,2417197.0
Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,-,-,-,-,-,-,-,-,3.420,2.383,3.420,2.383,,,,,,,,,3420.0,2383.0,3420.0,2383.0
