row_label_raw,row_label_full,col_0,Chi phí khai thác khoáng sản khác Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,Công cụ và dụng cụ Triệu VND,Lợi thế thương mại từ cổ phần hóa Triệu VND,Heo giống Triệu VND,Khác Triệu VND,Tổng Triệu VND,numeric__Chi phí khai thác khoáng sản khác Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,numeric__Công cụ và dụng cụ Triệu VND,numeric__Lợi thế thương mại từ cổ phần hóa Triệu VND,numeric__Heo giống Triệu VND,numeric__Khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.721.727,1.441.304,1.343.663,1.541.846,9.404,42.907,1.159.030,7.259.881,1721727.0,1441304.0,1343663.0,1541846.0,9404.0,42907.0,1159030.0,7259881.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,208.557,6.429,1.808,311.914,-,-,601.425,1.130.133,208557.0,6429.0,1808.0,311914.0,,,601425.0,1130133.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,-,(11.675),-,-,-,(11.675),,,,-11675.0,,,,-11675.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,(8.749),-,-,-,(8.749),,,,-8749.0,,,,-8749.0
Chuyển từ/(sang) xây dựng cơ bản dở dang,Chuyển từ/(sang) xây dựng cơ bản dở dang,Chuyển từ/(sang) xây dựng cơ bản dở dang,-,(8.587),1.062,377.753,-,41.334,16.959,428.521,,-8587.0,1062.0,377753.0,,41334.0,16959.0,428521.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(155.321),(35.137),(73.485),(622.334),(3.135),(23.792),(392.236),(1.305.440),-155321.0,-35137.0,-73485.0,-622334.0,-3135.0,-23792.0,-392236.0,-1305440.0
Thanh lý/xóa số,Thanh lý/xóa số,Thanh lý/xóa số,-,-,-,(60.081),-,(14.203),(336),(74.620),,,,-60081.0,,-14203.0,-336.0,-74620.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,399,-,-,(399),-,,,,399.0,,,-399.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(9),-,-,-,(9),,,,-9.0,,,,-9.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.774.963,1.404.009,1.273.048,1.529.064,6.269,46.246,1.384.443,7.418.042,1774963.0,1404009.0,1273048.0,1529064.0,6269.0,46246.0,1384443.0,7418042.0
