row_label_raw,row_label_full,col_0,Loại tiên tệ,Lãi suất năm,Năm đáo hạn,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__Loại tiên tệ,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),,,,,
Khoản vay ngân hàng có đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàng có đảm bảo,Khoản vay ngân hàng có đảm bảo,VND,"4,6% - 13,5%",2024 - 2028,3.421.131,3.761.651,,,,3421131.0,3761651.0
Khoản vay ngân hàng có đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàng có đảm bảo,Khoản vay ngân hàng có đảm bảo,USD,"6,5% - 9,3%",2027 - 2028,29.870.500,14.256.000,,,,29870500.0,14256000.0
Khoản vay ngân hàng không đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàng không đảm bảo,Khoản vay ngân hàng không đảm bảo,CNY,"4,7%",2024,94.334,-,,0.047,2024.0,94334.0,
Khoản vay ngân hàng không đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàng không đảm bảo,Khoản vay ngân hàng không đảm bảo,VND,"6,6% - 8,4%",2024,340.000,426.609,,,2024.0,340000.0,426609.0
,,,,,,33.725.965(3.467.128),18.444.260(1.317.816),,,,,
Khoản đến hạn trả trong vòng 12 tháng,Vay dài hạn (*) > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,30.258.837,17.126.444,,,,30258837.0,17126444.0
Trái phiếu thường (**),Trái phiếu thường (**),Trái phiếu thường (**),VND,"8,1% - 13,5%",2024 - 2028,16.574.230(139.181),35.413.775(270.947),,,,,
Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,,,,16.435.049(5.479.909),35.142.828(22.187.234),,,,,
Khoản đến hạn trả trong vòng 12 tháng,Chi phí phát hành trái phiếu chưa phân bổ > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,10.955.140,12.955.594,,,,10955140.0,12955594.0
Nợ thuê tài chính (***),Chi phí phát hành trái phiếu chưa phân bổ > Nợ thuê tài chính (***),Nợ thuê tài chính (***),VND,"8,6% - 11,2%",2035,343.551,358.842,,,2035.0,343551.0,358842.0
Khoản đến hạn trả trong vòng 12 tháng,Chi phí phát hành trái phiếu chưa phân bổ > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,(15.634),(15.255),,,,-15634.0,-15255.0
Khoản đến hạn trả sau 12 tháng,Chi phí phát hành trái phiếu chưa phân bổ > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,,,,327.917,343.587,,,,327917.0,343587.0
