row_label_raw,row_label_full,TÀI SẢN (tiếp theo),Mã số,Thuyết minh,31/12/2023 Triệu VND,1/1/2023 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 Triệu VND,numeric__1/1/2023 Triệu VND
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,103.619.995,93.668.191,200.0,,103619995.0,93668191.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,7,11.210.955,2.113.762,210.0,7.0,11210955.0,2113762.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,-,81.150,215.0,,,81150.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,11.210.955,2.032.612,216.0,,11210955.0,2032612.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,42.885.823,43.535.355,220.0,,42885823.0,43535355.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,30.468.702,30.611.529,221.0,9.0,30468702.0,30611529.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,52.985.169,50.465.195,222.0,,52985169.0,50465195.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(22.516.467),(19.853.666),223.0,,-22516467.0,-19853666.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,,310.884,349.310,224.0,,310884.0,349310.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,444.649,472.986,225.0,,444649.0,472986.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(133.765),(123.676),226.0,,-133765.0,-123676.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,10,12.106.237,12.574.516,227.0,10.0,12106237.0,12574516.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,16.690.945,16.375.200,228.0,,16690945.0,16375200.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(4.584.708),(3.800.684),229.0,,-4584708.0,-3800684.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,11,708.670,729.763,230.0,11.0,708670.0,729763.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,1.216.349,1.148.248,231.0,,1216349.0,1148248.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(507.679),(418.485),232.0,,-507679.0,-418485.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,3.127.230,3.324.848,240.0,,3127230.0,3324848.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,12,3.127.230,3.324.848,242.0,12.0,3127230.0,3324848.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,13,33.219.467,31.333.885,250.0,13.0,33219467.0,31333885.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,,30.281.765,28.480.242,252.0,,30281765.0,28480242.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,2.937.702,2.853.643,253.0,,2937702.0,2853643.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,12.467.850,12.630.578,260.0,,12467850.0,12630578.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,14,7.418.042,7.259.881,261.0,14.0,7418042.0,7259881.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,15,676.669,302.220,262.0,15.0,676669.0,302220.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,16,4.373.139,5.068.477,269.0,16.0,4373139.0,5068477.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,147.383.472,141.342.815,270.0,,147383472.0,141342815.0
