row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023Triệu VND,2022Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023Triệu VND,numeric__2022Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1,,2.562.974,5.147.150,1.0,,2562974.0,5147150.0
Điều chỉnh cho,Điều chỉnh cho,Điều chỉnh cho,,,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho > Khấu hao và phân bổ,Khấu hao và phân bổ,2,,4.123.663,4.406.523,2.0,,4123663.0,4406523.0
Lợi thế thương mại âm phát sinh từ hợp nhất,Lợi thế thương mại âm phát sinh từ hợp nhất,Lợi thế thương mại âm phát sinh từ hợp nhất,,,,,,,,
kinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhất > kinh doanh,kinh doanh,2,,(117.107),-,2.0,,-117107.0,
Các khoản dự phòng,Lợi thế thương mại âm phát sinh từ hợp nhất > Các khoản dự phòng,Các khoản dự phòng,3,,407.345,232.844,3.0,,407345.0,232844.0
Lỗ/(lãi) chênh lệch tỷ giá hối đoái chưa thực hiện,Lợi thế thương mại âm phát sinh từ hợp nhất > Lỗ/(lãi) chênh lệch tỷ giá hối đoái chưa thực hiện,Lỗ/(lãi) chênh lệch tỷ giá hối đoái chưa thực hiện,4,,59.093,(40.984),4.0,,59093.0,-40984.0
Lãi từ hoạt động đầu tư,Lợi thế thương mại âm phát sinh từ hợp nhất > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,5,,(5.870.297),(5.848.866),5.0,,-5870297.0,-5848866.0
Chi phí lãi vay và chi phí khác,Lợi thế thương mại âm phát sinh từ hợp nhất > Chi phí lãi vay và chi phí khác,Chi phí lãi vay và chi phí khác,6,,7.422.409,5.340.053,6.0,,7422409.0,5340053.0
Lãi từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi thế thương mại âm phát sinh từ hợp nhất > Lãi từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lãi từ hoạt động kinh doanh trước những thay đổi vốn lưu động,8,,8.588.080,9.236.720,8.0,,8588080.0,9236720.0
Biến động các khoản phải thu và tài sản khác,Lợi thế thương mại âm phát sinh từ hợp nhất > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,9,,452.139,(671.677),9.0,,452139.0,-671677.0
Biến động hàng tồn kho,Lợi thế thương mại âm phát sinh từ hợp nhất > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,1.076.401,(1.736.144),10.0,,1076401.0,-1736144.0
Biến động các khoản phải trả và nợ khác,Lợi thế thương mại âm phát sinh từ hợp nhất > Biến động các khoản phải trả và nợ khác,Biến động các khoản phải trả và nợ khác,11,,(442.419),(1.432.197),11.0,,-442419.0,-1432197.0
Biến động các khoản trả trước,Lợi thế thương mại âm phát sinh từ hợp nhất > Biến động các khoản trả trước,Biến động các khoản trả trước,12,,426.228,95.094,12.0,,426228.0,95094.0
Biến động chứng khoán kinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhất > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,(880.882),(3.302.172),13.0,,-880882.0,-3302172.0
,,,,,9.219.547,2.189.624,,,9219547.0,2189624.0
Tiền lãi vay đã trả,Lợi thế thương mại âm phát sinh từ hợp nhất > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(7.902.879),(5.070.517),14.0,,-7902879.0,-5070517.0
Thuế thu nhập doanh nghiệp đã nộp,Lợi thế thương mại âm phát sinh từ hợp nhất > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(816.207),(903.262),15.0,,-816207.0,-903262.0
Tiền chi khác cho hoạt động kinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhất > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,-,(4.697),17.0,,,-4697.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhất > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,500.461,(3.788.852),20.0,,500461.0,-3788852.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
Tiền chi mua tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua tài sản cố định và tài sản dài hạn khác,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,,(2.228.795),(4.165.321),21.0,,-2228795.0,-4165321.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,,17.461,23.919,22.0,,17461.0,23919.0
"Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","Tiền chi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác",23,,(28.673.709),(11.336.453),23.0,,-28673709.0,-11336453.0
"Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác","Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn và đầu tư khác",24,,20.544.165,4.750.015,24.0,,20544165.0,4750015.0
Tiền chi cho các khoản đầu tư công cụ vốn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho các khoản đầu tư công cụ vốn,Tiền chi cho các khoản đầu tư công cụ vốn,25,,-,(14.163.385),25.0,,,-14163385.0
"Hợp nhất kinh doanh, đã trừ đi số dư tiền của công ty con được hợp nhất","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Hợp nhất kinh doanh, đã trừ đi số dư tiền của công ty con được hợp nhất","Hợp nhất kinh doanh, đã trừ đi số dư tiền của công ty con được hợp nhất",25,,(11.812),(2.472.176),25.0,,-11812.0,-2472176.0
Tiền thu từ thanh lý các khoản đầu tư công cụ vốn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý các khoản đầu tư công cụ vốn,Tiền thu từ thanh lý các khoản đầu tư công cụ vốn,26,,708.600,283.750,26.0,,708600.0,283750.0
"Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư","Tiền thu từ lãi, cổ tức và thu nhập khác từ hoạt động đầu tư",27,,1.820.418,632.392,27.0,,1820418.0,632392.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(7.823.672),(26.447.259),30.0,,-7823672.0,-26447259.0
