row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng và khác Triệu VND,Tài sản khai khoáng khác Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Tổng Triệu VND
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số dư đầu năm,Khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,4.255.734,89.756,13.597.404,76.090,189.957,1.644.725,19.853.666,4255734.0,89756.0,13597404.0,76090.0,189957.0,1644725.0,19853666.0
Tăng từ hợp nhất kinh doanh,Khấu hao lũy kế > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,12.529,-,57.662,-,-,-,70.191,12529.0,,57662.0,,,,70191.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,790.526,2.781,1.646.070,22.336,31.418,120.459,2.613.590,790526.0,2781.0,1646070.0,22336.0,31418.0,120459.0,2613590.0
Chuyển sang chi phí trả trước dài hạn,Khấu hao lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,(776),-,(3.088),-,(3.864),,,-776.0,,-3088.0,,-3864.0
Chuyển sang chi phí trả trước ngắn hạn,Khấu hao lũy kế > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,(7),-,-,-,(7),,,-7.0,,,,-7.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Khấu hao lũy kế > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,-,13.806,2.161,-,-,15.967,,,13806.0,2161.0,,,15967.0
Thanh lý/xóa số,Khấu hao lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(7.095),(39.778),(118.779),(19.604),(28.133),-,(213.389),-7095.0,-39778.0,-118779.0,-19604.0,-28133.0,,-213389.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,(10.057),(64),10.121,-,-,,,-10057.0,-64.0,10121.0,,
Chênh lệch quy đổi tiền tệ,Khấu hao lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,21.676,-,158.637,-,-,-,180.313,21676.0,,158637.0,,,,180313.0
Số dư cuối năm,Khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,5.073.370,52.759,15.343.960,80.919,200.275,1.765.184,22.516.467,5073370.0,52759.0,15343960.0,80919.0,200275.0,1765184.0,22516467.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.567.099,5.289,14.328.185,102.461,157.293,3.451.202,30.611.529,12567099.0,5289.0,14328185.0,102461.0,157293.0,3451202.0,30611529.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.340.147,2.508,14.463.496,89.910,241.898,3.330.743,30.468.702,12340147.0,2508.0,14463496.0,89910.0,241898.0,3330743.0,30468702.0
