row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng và khác Triệu VND,Tài sản khai khoáng khác Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,16.822.833,95.045,27.925.589,178.551,347.250,5.095.927,50.465.195,16822833.0,95045.0,27925589.0,178551.0,347250.0,5095927.0,50465195.0
Tăng từ hợp nhất kinh doanh,Nguyên giá > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,170.957,-,314.027,-,-,-,484.984,170957.0,,314027.0,,,,484984.0
Tăng trong năm/diều chỉnh sau quyết toán,Nguyên giá > Tăng trong năm/diều chỉnh sau quyết toán,Tăng trong năm/diều chỉnh sau quyết toán,19.881,-,55.314,532,13.307,-,89.034,19881.0,,55314.0,532.0,13307.0,,89034.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,333.484,-,1.337.536,13.152,83.277,-,1.767.449,333484.0,,1337536.0,13152.0,83277.0,,1767449.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(602),-,(1.055),-,9.468,-,7.811,-602.0,,-1055.0,,9468.0,,7811.0
Chuyển từ chi phí trả trước ngắn hạn,Nguyên giá > Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,-,22,-,-,-,22,,,22.0,,,,22.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,-,25.119,3.219,-,-,28.338,,,25119.0,3219.0,,,28338.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,76.411,-,1.277,-,77.688,,,76411.0,,1277.0,,77688.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(9.775),(39.778),(130.184),(24.562),(30.597),-,(234.896),-9775.0,-39778.0,-130184.0,-24562.0,-30597.0,,-234896.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,(18.128),(63),18.191,-,-,,,-18128.0,-63.0,18191.0,,
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,76.739,-,222.805,-,-,-,299.544,76739.0,,222805.0,,,,299544.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,17.413.517,55.267,29.807.456,170.829,442.173,5.095.927,52.985.169,17413517.0,55267.0,29807456.0,170829.0,442173.0,5095927.0,52985169.0
