row_label_raw,row_label_full,col_0,Trợ cấp hữu trí Triệu VND,Quyền khai thác mỏ Triệu VND,Chi phí phục hồi môi trường mỏ Triệu VND,Trợ cấp thời việc Triệu VND,Tổng Triệu VND,numeric__Trợ cấp hữu trí Triệu VND,numeric__Quyền khai thác mỏ Triệu VND,numeric__Chi phí phục hồi môi trường mỏ Triệu VND,numeric__Trợ cấp thời việc Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.138.629,370.321,113.831,18.420,4.641.201,4138629.0,370321.0,113831.0,18420.0,4641201.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,324.135,-,-,-,324.135,324135.0,,,,324135.0
Dự phòng trích lập/(hoàn nhập) trong năm,Dự phòng trích lập/(hoàn nhập) trong năm,Dự phòng trích lập/(hoàn nhập) trong năm,168.340,8.938,5.372,(347),182.303,168340.0,8938.0,5372.0,-347.0,182303.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(237.638),-,-,-,(237.638),-237638.0,,,,-237638.0
Tái đánh giá nợ phải trả phúc lợi hữu trí (*),Tái đánh giá nợ phải trả phúc lợi hữu trí (*),Tái đánh giá nợ phải trả phúc lợi hữu trí (*),344.952,-,-,-,344.952,344952.0,,,,344952.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,270.766,-,-,-,270.766,270766.0,,,,270766.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.009.184,379.259,119.203,18.073,5.525.719,5009184.0,379259.0,119203.0,18073.0,5525719.0
