row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,43.763.477,47.674.624,100.0,,43763477.0,47674624.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,10.124.515,13.853.100,110.0,6.0,10124515.0,13853100.0
Tiền,Tiền,Tiền,111,,3.290.554,1.718.476,111.0,,3290554.0,1718476.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,6.833.961,12.134.624,112.0,,6833961.0,12134624.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,13,6.794.791,3.659.175,120.0,13.0,6794791.0,3659175.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,,4.183.054,3.302.172,121.0,,4183054.0,3302172.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,2.611.737,357.003,123.0,,2611737.0,357003.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,7,11.985.015,13.929.560,130.0,7.0,11985015.0,13929560.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,131,,2.309.810,2.735.816,131.0,,2309810.0,2735816.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,,725.077,1.227.666,132.0,,725077.0,1227666.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,,81.150,-,135.0,,81150.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,,8.898.758,10.007.179,136.0,,8898758.0,10007179.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,137,,(34.943),(47.369),137.0,,-34943.0,-47369.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,5.163,6.268,139.0,,5163.0,6268.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,8,13.174.868,14.445.345,140.0,8.0,13174868.0,14445345.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,13.496.602,14.634.281,141.0,,13496602.0,14634281.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(321.734),(188.936),149.0,,-321734.0,-188936.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.684.288,1.787.444,150.0,,1684288.0,1787444.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,327.933,374.120,151.0,,327933.0,374120.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.208.789,1.253.949,152.0,,1208789.0,1253949.0
Thuế và các khoản khác phải thu Ngân sách,Thuế và các khoản khác phải thu Ngân sách,Thuế và các khoản khác phải thu Ngân sách,,,,,,,,
Nhà nước,Thuế và các khoản khác phải thu Ngân sách > Nhà nước,Nhà nước,153,,147.566,159.375,153.0,,147566.0,159375.0
