row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2023Triệu VND,2022Triệu VND,numeric__Tính chất giao dịch,numeric__2023Triệu VND,numeric__2022Triệu VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,Khoản vay đã nhận,3.027.246,4.423.179,,3027246.0,4423179.0
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,Khoản vay đã trả,2.868.121,3.730.817,,2868121.0,3730817.0
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,Trái phiếu phát hành (đại lý phát hành),7.300.000,2.000.000,,7300000.0,2000000.0
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,Chi phí phát hành trái phiếu,32.085,39.262,,32085.0,39262.0
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,Mua chứng khoán kinh doanh,11.000.658,6.710.550,,11000658.0,6710550.0
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,Bán chứng khoán kinh doanh,7.868.014,7.710.854,,7868014.0,7710854.0
Techcombank vàcác công ty con của Techcombank,Công ty liên kết > Techcombank vàcác công ty con của Techcombank,Techcombank vàcác công ty con của Techcombank,"Chi phí lãi vay, trái phiếu",384.726,525.611,,384726.0,525611.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Thành viên quản lýchủ chốt,Các bên liên quan khác > Thành viên quản lýchủ chốt,Thành viên quản lýchủ chốt,Thù lao trả cho thành viên quản lýchủ chốt (*),173.122,178.968,,173122.0,178968.0
