row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023 Triệu VND,2022 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023 Triệu VND,numeric__2022 Triệu VND
LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
Tiền thu từ phát hành cổ phiếu trừ đi chi phíphát hành liên quan,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu trừ đi chi phíphát hành liên quan,Tiền thu từ phát hành cổ phiếu trừ đi chi phíphát hành liên quan,31,,71.136,(40.387),31.0,,71136.0,-40387.0
"Tiền thu từ đi vay, phát hành trái phiếu và khác","LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay, phát hành trái phiếu và khác","Tiền thu từ đi vay, phát hành trái phiếu và khác",33,,91.059.079,78.059.927,33.0,,91059079.0,78059927.0
"Tiền trả nợ gốc vay, trái phiếu và khác","LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay, trái phiếu và khác","Tiền trả nợ gốc vay, trái phiếu và khác",34,,(87.324.894),(54.956.359),34.0,,-87324894.0,-54956359.0
Tiền trả nợ gốc thuê tài chính,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,,(15.289),(13.927),35.0,,-15289.0,-13927.0
Tiền chi trả cổ tức,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,,(243.821),(1.253.082),36.0,,-243821.0,-1253082.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,3.546.211,21.796.172,40.0,,3546211.0,21796172.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,(3.777.000),(8.439.939),50.0,,-3777000.0,-8439939.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,,13.853.100,22.304.822,60.0,,13853100.0,22304822.0
Ảnh hưởng của thay đổi tỷ giá hối đoái,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái,Ảnh hưởng của thay đổi tỷ giá hối đoái,61,,48.415,(11.783),61.0,,48415.0,-11783.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,70,6,10.124.515,13.853.100,70.0,6.0,10124515.0,13853100.0
