row_label_raw,row_label_full,col_0,Giá trị ghi nhậnTriệu VND,numeric__Giá trị ghi nhậnTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,338.149,338149.0
"Hàng tồn kho, thuần","Hàng tồn kho, thuần","Hàng tồn kho, thuần",42.309,42309.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,171.773,171773.0
"Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần","Tài sản cố định hữu hình, thuần",414.793,414793.0
"Tài sản cố định vô hình, thuần","Tài sản cố định vô hình, thuần","Tài sản cố định vô hình, thuần",49.902,49902.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,21.071,21071.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,125.766,125766.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(132.564),-132564.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(564.131),-564131.0
Tổng tài sản thuần có thể xác định được,Tổng tài sản thuần có thể xác định được,Tổng tài sản thuần có thể xác định được,467.068,467068.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,467.068,467068.0
Lợi thế thương mại âm phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại âm phát sinh từ hợp nhất kinh doanh,(117.107),-117107.0
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,349.961,349961.0
Tiền và các khoản tương đương tiền thu được từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu được từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu được từ hợp nhất kinh doanh,338.149,338149.0
Tiền thuần đã chi,Tiền thuần đã chi,Tiền thuần đã chi,(11.812),-11812.0
