row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2023 Triệu VND,1/1/2023 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023 Triệu VND,numeric__1/1/2023 Triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,109.146.231,104.706.076,300.0,,109146231.0,104706076.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,50.422.500,65.320.877,310.0,,50422500.0,65320877.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,6.317.999,7.489.371,311.0,,6317999.0,7489371.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,312,,861.932,566.330,312.0,,861932.0,566330.0
Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,313,17,1.103.204,536.310,313.0,17.0,1103204.0,536310.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,314,,264.300,248.365,314.0,,264300.0,248365.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,18(a),4.819.044,4.184.351,315.0,,4819044.0,4184351.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,67.059,15.691,318.0,,67059.0,15691.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,19(a),8.919.791,11.671.935,319.0,,8919791.0,11671935.0
"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn",320,20,28.030.197,40.567.379,320.0,20.0,28030197.0,40567379.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,,7.826,9.997,321.0,,7826.0,9997.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,31.148,31.148,322.0,,31148.0,31148.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,58.723.731,39.385.199,330.0,,58723731.0,39385199.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,,19.289,24.324,331.0,,19289.0,24324.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,18(b),31.186,-,333.0,,31186.0,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,19(b),8.199.245,752.378,337.0,,8199245.0,752378.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,21,41.541.894,30.425.625,338.0,21.0,41541894.0,30425625.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,15,3.406.398,3.541.671,341.0,15.0,3406398.0,3541671.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,22,5.525.719,4.641.201,342.0,22.0,5525719.0,4641201.0
