row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2019,Giá trị ghi sổ > 01/01/2019,Giá trị hợp lý > 31/12/2019,Giá trị hợp lý > 01/01/2019,numeric__Giá trị ghi sổ > 31/12/2019,numeric__Giá trị ghi sổ > 01/01/2019,numeric__Giá trị hợp lý > 31/12/2019,numeric__Giá trị hợp lý > 01/01/2019
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.234.938.734.159,1.223.496.734.159,1.234.938.734.159,1.222.054.734.159,1234938734159.0,1223496734159.0,1234938734159.0,1222054734159.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,2.878.045.470.171,3.226.054.518.956,2.878.045.470.171,3.225.582.224.556,2878045470171.0,3226054518956.0,2878045470171.0,3225582224556.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,52.347.310.773,33.683.109.521,52.347.310.773,33.625.238.641,52347310773.0,33683109521.0,52347310773.0,33625238641.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,305.151.834.284,371.544.949.314,305.151.834.284,371.544.949.314,305151834284.0,371544949314.0,305151834284.0,371544949314.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,4.470.483.349.387,4.854.779.311.950,4.470.483.349.387,4.852.807.146.670,4470483349387.0,4854779311950.0,4470483349387.0,4852807146670.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.530.586.690.337,2.983.698.032.156,2.530.586.690.337,2.983.698.032.156,2530586690337.0,2983698032156.0,2530586690337.0,2983698032156.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,10.857.546.397.210,831.587.270.413,10.857.546.397.210,831.587.270.413,10857546397210.0,831587270413.0,10857546397210.0,831587270413.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,756.817.938.798,12.807.045.471.535,756.817.938.798,12.807.045.471.535,756817938798.0,12807045471535.0,756817938798.0,12807045471535.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,14.144.951.026.345,16.622.330.774.104,14.144.951.026.345,16.622.330.774.104,14144951026345.0,16622330774104.0,14144951026345.0,16622330774104.0
