row_label_raw,row_label_full,col_0,col_1,Năm 2019(VND),Năm 2018(VND),numeric__col_1,numeric__Năm 2019(VND),numeric__Năm 2018(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,294.122.390.114,218.110.171.379,,294122390114.0,218110171379.0
a.,a.,a.,Chi phí nhân viên quản lý,109.021.452.967,99.990.861.336,,109021452967.0,99990861336.0
a.,a.,a.,Chi phí khấu hao,22.130.708.141,20.548.908.048,,22130708141.0,20548908048.0
a.,a.,a.,Dịch vụ mua ngoài,50.649.290.651,13.116.544.758,,50649290651.0,13116544758.0
a.,a.,a.,Các khoản khác,112.320.938.355,84.453.857.237,,112320938355.0,84453857237.0
b.,b.,b.,Chi phí bán hàng,2.894.025.005,2.498.619.271,,2894025005.0,2498619271.0
b.,b.,b.,Chi phí nhân viên,545.236.888,660.095.000,,545236888.0,660095000.0
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",1.187.114.368,1.114.121.793,,1187114368.0,1114121793.0
b.,b.,b.,Các khoản khác,1.161.673.749,724.402.478,,1161673749.0,724402478.0
b.,b.,b.,Cộng,297.016.415.119,220.608.790.650,,297016415119.0,220608790650.0
