row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND","Phương tiện vậntài, truyền dẫnVND","Thiết bị, dụngcụ quản lýVND",TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND","numeric__Phương tiện vậntài, truyền dẫnVND","numeric__Thiết bị, dụngcụ quản lýVND",numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.238.266.356.010,23.334.368.882.211,336.284.644.453,55.365.509.329,267.091.567.186,33.231.376.959.189,9238266356010.0,23334368882211.0,336284644453.0,55365509329.0,267091567186.0,33231376959189.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,20.927.695.560,-,742.651.818,-,21.670.347.378,,20927695560.0,,742651818.0,,21670347378.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,48.127.529.889,22.106.481.677,-,-,667.258.183,70.901.269.749,48127529889.0,22106481677.0,,,667258183.0,70901269749.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
- Điều chỉnh theo QTDAHT,- Tăng khác > - Điều chỉnh theo QTDAHT,- Điều chỉnh theo QTDAHT,(1.979.443.045),1.979.443.045,-,-,-,-,-1979443045.0,1979443045.0,,,,
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,-,(6.247.551.971),-,-,-,(6.247.551.971),,-6247551971.0,,,,-6247551971.0
Số dư cuối năm,- Tăng khác > Số dư cuối năm,Số dư cuối năm,9.284.414.442.854,23.373.134.950.522,336.284.644.453,56.108.161.147,267.758.825.369,33.317.701.024.345,9284414442854.0,23373134950522.0,336284644453.0,56108161147.0,267758825369.0,33317701024345.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,2.436.835.219.344,12.302.454.559.308,268.527.980.453,51.566.312.923,205.817.673.262,15.265.201.745.290,2436835219344.0,12302454559308.0,268527980453.0,51566312923.0,205817673262.0,15265201745290.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,436.571.359.578,1.596.366.447.874,22.857.752.241,1.878.589.258,40.006.413.420,2.097.680.562.371,436571359578.0,1596366447874.0,22857752241.0,1878589258.0,40006413420.0,2097680562371.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,3.079.435.644,-,-,-,-,3.079.435.644,3079435644.0,,,,,3079435644.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
- Điều chỉnh theo QTDAHT,- Tăng khác > - Điều chỉnh theo QTDAHT,- Điều chỉnh theo QTDAHT,421.947.882,(421.947.882),-,-,-,-,421947882.0,-421947882.0,,,,
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,-,(4.506.089.776),-,-,-,(4.506.089.776),,-4506089776.0,,,,-4506089776.0
Số dư cuối năm,- Tăng khác > Số dư cuối năm,Số dư cuối năm,2.876.907.962.448,13.893.892.969.524,291.385.732.694,53.444.902.181,245.824.086.682,17.361.455.653.529,2876907962448.0,13893892969524.0,291385732694.0,53444902181.0,245824086682.0,17361455653529.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.801.431.136.666,11.031.914.322.903,67.756.664.000,3.799.196.406,61.273.893.924,17.966.175.213.899,6801431136666.0,11031914322903.0,67756664000.0,3799196406.0,61273893924.0,17966175213899.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.407.506.480.406,9.479.241.980.998,44.898.911.759,2.663.258.966,21.934.738.687,15.956.245.370.816,6407506480406.0,9479241980998.0,44898911759.0,2663258966.0,21934738687.0,15956245370816.0
"Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:","Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp, cảm cố đảm bảo khoản vay:",5.946.833.528.836,,,,,,5946833528836.0
Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,2.300.907.000.900,,,,,,2300907000900.0
Nguyên giá TSCĐ cuối năm chờ thanh lý:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,12.324.121.940,,,,,,12324121940.0
