row_label_raw,row_label_full,TT,Tên đơn vị,Giá trị mua trong kỳ > Nội dung,Giá trị mua trong kỳ > Giá trị,Giá trị bán trong kỳ > Nội dung,Giá trị bán trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nội dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bán trong kỳ > Nội dung,numeric__Giá trị bán trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
1,1,1,Công ty Kho vận và C้าง Cẩm phả - Vinacomin,Mua than,4.278.266.702.405,Bán than,182.372.773.343,,,4278266702405.0,,182372773343.0
2,2,2,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Mua hóa chất,3.807.366.440,,-,,,3807366440.0,,
3,3,3,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,,-,Thuê lái xe,122.568.000,,,,,122568000.0
4,4,4,Công ty CP Công nghiệp Ô tô - Vinacomin,Mua vật tư,1.214.481.481,,-,,,1214481481.0,,
5,5,5,Bệnh viện Than - Khoáng sản,Dịch vụ khám sức khỏe,561.704.550,,-,,,561704550.0,,
6,6,6,Viện Cơ khí năng lượng và mỏ - Vinacomin,Mua vật tư,10.697.157.279,,-,,,10697157279.0,,
7,7,7,Trường quản trị kinh doanh - Vinacomin,Dịch vụ đào tạo,352.660.502,,-,,,352660502.0,,
8,8,8,Công ty Kho vận Đá bạc - Vinacomin,Mua than,2.112.430.033.093,,-,,,2112430033093.0,,
9,9,9,Công ty TNHH MTV môi trường - TKV,Cung cấp dịch vụ,692.884.780,Bán đầu thải,271.182.305,,,692884780.0,,271182305.0
10,10,10,Tổng Công ty CN Mỏ Việt Bắc - Vinacomin,,-,Bán điện,1.881.351.467,,,,,1881351467.0
13,13,13,Công ty CP Cơ điện Uông Bí - Vinacomin,Sửa chữa TSCĐ,24.000.000,,-,,,24000000.0,,
14,14,14,"Công ty CP Tin Học, Công Nghệ, Môi trường - Vinacomin",Mua dịch vụ,51.468.210,,-,,,51468210.0,,
15,15,15,Trường cao đẳng nghề Than - Khoáng sản Việt Nam,Kinh phí huấn luyện,698.034.594,,-,,,698034594.0,,
16,16,16,Tạp chí Than - Khoáng sản Việt Nam,Quảng cáo,30.000.000,,-,,,30000000.0,,
17,17,17,Công ty CP Xuất nhập khẩu than - Vinacomin tại Quảng Ninh,Mua vật tư,1.805.010.000,,-,,,1805010000.0,,
18,18,18,Công ty CP Du lịch & Thương mại - Vinacomin,Dịch vụ du lịch,5.433.944.546,,-,,,5433944546.0,,
20,20,20,Viện khoa học công nghệ mỏ - Vinacomin,Cung cấp dịch vụ,317.841.475,,-,,,317841475.0,,
21,21,21,Công ty Cổ phần Giám định - Vinacomin,Cung cấp dịch vụ,329.365.893,,-,,,329365893.0,,
22,22,22,Công ty CP Phát triển Công nghệ và Thiết bị mỏ,Thí nghiệm thiết bị,577.085.201,,-,,,577085201.0,,
