row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 31/12/2019(VND) > Giá trị,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 31/12/2019(VND) > Dự phòng,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 01/01/2019(VND) > Giá trị,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 01/01/2019(VND) > Dự phòng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 31/12/2019(VND) > Giá trị,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 31/12/2019(VND) > Dự phòng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 01/01/2019(VND) > Giá trị,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (Tiếp theo)Năm tài chính kết thúc vào ngày 31 tháng 12 năm 2019 > 01/01/2019(VND) > Dự phòng
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",167.777.111.945,(35.855.438),139.213.421.879,(321.823.948),167777111945.0,-35855438.0,139213421879.0,-321823948.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",21.740.648.291,-,22.093.781.258,-,21740648291.0,,22093781258.0,
Chi phí SXKD DD,Chi phí SXKD DD,Chi phí SXKD DD,8.232.689.113,-,14.971.531.812,-,8232689113.0,,14971531812.0,
Thành phẩm,Thành phẩm,Thành phẩm,4.389.582.659,-,1.753.702.026,-,4389582659.0,,1753702026.0,
Cộng,Cộng,Cộng,202.140.032.008,(35.855.438),178.032.436.975,(321.823.948),202140032008.0,-35855438.0,178032436975.0,-321823948.0
5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,5.7 Tài sản dở dang dài hạn,,,,
,,,,,31/12/2019(VND),01/01/2019(VND),,,,
"a. Chi phí sản xuất, kinh doanh dở dang dài hạn","5.7 Tài sản dở dang dài hạn > a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn","a. Chi phí sản xuất, kinh doanh dở dang dài hạn",873.587.951,-,,,873587951.0,
Khác,5.7 Tài sản dở dang dài hạn > Khác,Khác,Khác,Khác,873.587.951,-,,,873587951.0,
b. Chi phí xây dựng cơ bản dở dang,5.7 Tài sản dở dang dài hạn > b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,b. Chi phí xây dựng cơ bản dở dang,119.064.418.043,73.596.749.998,,,119064418043.0,73596749998.0
