row_label_raw,row_label_full,CHỈ TIỀU,Mã số TM,2019,2018,numeric__Mã số TM,numeric__2019,numeric__2018
LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,,,
Lợi nhuận trước thuế,LƯỢU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,599.926.387.233,583.628.474.168,1.0,599926387233.0,583628474168.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,2.101.102.662.920,1.938.680.843.358,2.0,2101102662920.0,1938680843358.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(1.456.003.066),(89.502.328.474),3.0,-1456003066.0,-89502328474.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,159.921.262.780,226.938.371.884,4.0,159921262780.0,226938371884.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(38.824.389.400),(26.362.588.801),5.0,-38824389400.0,-26362588801.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,656.730.884.623,767.045.391.538,6.0,656730884623.0,767045391538.0
Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,08,3.477.400.805.090,3.400.428.163.673,8.0,3477400805090.0,3400428163673.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,220.813.100.079,108.090.850.589,9.0,220813100079.0,108090850589.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,(9.924.655.327),(44.343.957.949),10.0,-9924655327.0,-44343957949.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,(643.557.121.808),(264.207.793.474),11.0,-643557121808.0,-264207793474.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,109.264.227.798,184.010.998.208,12.0,109264227798.0,184010998208.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(674.068.987.319),(643.662.034.526),14.0,-674068987319.0,-643662034526.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(72.132.597.571),(5.760.391.668),15.0,-72132597571.0,-5760391668.0
