row_label_raw,row_label_full,Ngày 01/01/2019 > Giá trị ghi số:,Dưới 1 năm > Ngày 01/01/2019 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 01/01/2019 > Giá trị ghi số:,Tổng cộng > Ngày 01/01/2019 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 01/01/2019 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 01/01/2019 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 01/01/2019 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,371.544.949.314,-,371.544.949.314,371544949314.0,,371544949314.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.226.054.518.956,-,3.226.054.518.956,3226054518956.0,,3226054518956.0
Đầu tư,Đầu tư,Đầu tư,-,1.224.938.734.159,1.224.938.734.159,,1224938734159.0,1224938734159.0
Phải thu khác,Phải thu khác,Phải thu khác,25.322.056.143,8.361.053.378,33.683.109.521,25322056143.0,8361053378.0,33683109521.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(605.827.977),-,(605.827.977),-605827977.0,,-605827977.0
Dự phòng giảm giá các khoản đầu tư,Trừ: > Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,(1.442.000.000),(1.442.000.000),,-1442000000.0,-1442000000.0
Tổng cộng,Trừ: > Tổng cộng,Tổng cộng,3.622.315.696.436,1.231.857.787.537,4.854.173.483.973,3622315696436.0,1231857787537.0,4854173483973.0
Ngày 01/01/2019,Ngày 01/01/2019,Ngày 01/01/2019,Ngày 01/01/2019,Ngày 01/01/2019,Ngày 01/01/2019,,,
Phải trả người bán,Ngày 01/01/2019 > Phải trả người bán,Phải trả người bán,2.583.892.842.941,399.805.189.215,2.983.698.032.156,2583892842941.0,399805189215.0,2983698032156.0
"Phải trả, PN khác và chi phí phải trả","Ngày 01/01/2019 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",831.587.270.413,-,831.587.270.413,831587270413.0,,831587270413.0
Các khoản vay và nợ,Ngày 01/01/2019 > Các khoản vay và nợ,Các khoản vay và nợ,3.265.561.701.717,9.541.483.769.818,12.807.045.471.535,3265561701717.0,9541483769818.0,12807045471535.0
Tổng cộng,Ngày 01/01/2019 > Tổng cộng,Tổng cộng,6.681.041.815.071,9.941.288.959.033,16.622.330.774.104,6681041815071.0,9941288959033.0,16622330774104.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2019 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(3.058.726.118.635),(8.709.431.171.496),(11.768.157.290.131),-3058726118635.0,-8709431171496.0,-11768157290131.0
