row_label_raw,row_label_full,"Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi: > Từ 3 năm trở lên",31/12/2019(VND) > Giá gốc > 561.944.616 > 534.413.831,31/12/2019(VND) > Giá trị có thể thu hồi > 5.975.143 > -,01/01/2019(VND) > Giá gốc > 612.549.324 > 590.144.831,01/01/2019(VND) > Giá trị có thể thu hồi > 6.721.347 > -,numeric__31/12/2019(VND) > Giá gốc > 561.944.616 > 534.413.831,numeric__31/12/2019(VND) > Giá trị có thể thu hồi > 5.975.143 > -,numeric__01/01/2019(VND) > Giá gốc > 612.549.324 > 590.144.831,numeric__01/01/2019(VND) > Giá trị có thể thu hồi > 6.721.347 > -
Điện lực Thái Nguyên,Điện lực Thái Nguyên,Điện lực Thái Nguyên,-,-,13.621.000,-,,,13621000.0,
Vụ Năng lượng - Bộ Công Thương,Vụ Năng lượng - Bộ Công Thương,Vụ Năng lượng - Bộ Công Thương,-,-,42.110.000,-,,,42110000.0,
Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,Công ty CP Dịch vụ thương mại Á Châu,459.574.000,-,459.574.000,-,459574000.0,,459574000.0,
"Trung tâm nghiên cứu, TK ứng dụng CN mới","Trung tâm nghiên cứu, TK ứng dụng CN mới","Trung tâm nghiên cứu, TK ứng dụng CN mới",72.660.000,-,72.660.000,-,72660000.0,,72660000.0,
Đối tượng khác,Đối tượng khác,Đối tượng khác,2.179.831,-,2.179.831,-,2179831.0,,2179831.0,
Từ 2 đến 3 năm,Từ 2 đến 3 năm,Từ 2 đến 3 năm,26.707.919,5.975.143,22.404.493,6.721.347,26707919.0,5975143.0,22404493.0,6721347.0
Công ty CP SX và TM Nhất Thành Phát,Công ty CP SX và TM Nhất Thành Phát,Công ty CP SX và TM Nhất Thành Phát,18.172.000,-,-,-,18172000.0,,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,8.535.919,5.975.143,22.404.493,6.721.347,8535919.0,5975143.0,22404493.0,6721347.0
Từ 1 đến 2 năm,Từ 1 đến 2 năm,Từ 1 đến 2 năm,-,-,-,-,,,,
Đối tượng khác,Từ 1 đến 2 năm > Đối tượng khác,Đối tượng khác,822.866,-,-,-,822866.0,,,
