row_label_raw,row_label_full,TT,Tên đơn vị,Công nợ > 131,Công nợ > 138,Công nợ > 331,Công nợ > 335,Công nợ > 338,Công nợ > 341,numeric__Tên đơn vị,numeric__Công nợ > 131,numeric__Công nợ > 138,numeric__Công nợ > 331,numeric__Công nợ > 335,numeric__Công nợ > 338,numeric__Công nợ > 341
A,A,A,B,1,,2,6,7,8,,1.0,,2.0,6.0,7.0,8.0
A,A,A,NỘ PHẢI THU,,,,,,,,,,,,,
I,A > I,I,CÁC KHOẢN NỘ NGẮN HẠN,311.895.876,528.920.000,-,-,-,-,,311895876.0,528920000.0,,,,
1,A > 1,1,Tổng Công ty CN Mỏ Việt Bắc - Vinacomin,305.111.516,-,-,-,-,-,,305111516.0,,,,,
2,A > 2,2,Công ty TNHH MTV Môi trường - TKV,6.784.360,-,-,-,-,-,,6784360.0,,,,,
3,A > 3,3,Viện Khoa học Công nghệ Mỏ - Vinacomin,-,528.920.000,-,-,-,-,,,528920000.0,,,,
II,II,II,CÁC KHOẢN NỘ DÀI HẠN,-,-,-,-,-,-,,,,,,,
,,,CỘNG,311.895.876,528.920.000,-,-,-,-,,311895876.0,528920000.0,,,,
B,B,B,NỘ PHẢI TRÀ,,,,,,,,,,,,,
I,B > I,I,CÁC KHOẢN NỘ NGẮN HẠN,-,-,887.192.369.325,515.425.649.612,123.000.000,-,,,,887192369325.0,515425649612.0,123000000.0,
1,B > 1,1,Công ty Kho Vận Và Căng Cẩm Phả - Vinacomin,-,-,862.913.002.193,-,-,-,,,,862913002193.0,,,
2,B > 2,2,Công ty CP Du Lịch và Thương Mại Vinacomin,-,-,104.000.000,-,-,-,,,,104000000.0,,,
3,B > 3,3,Công ty CP địa chất Việt Bắc - TKV,-,-,406.061.131,-,-,-,,,,406061131.0,,,
4,B > 4,4,"Công ty CP Tin Học, Công Nghệ, Môi trường - Vinacomin",-,-,270.493.852,-,-,-,,,,270493852.0,,,
5,B > 5,5,Cty CP Giám định Vinacomin,-,-,56.615.031,-,-,-,,,,56615031.0,,,
6,B > 6,6,Công ty Cổ phần Vật Tư - TKV,-,-,7.094.663.190,-,-,-,,,,7094663190.0,,,
7,B > 7,7,Công ty Cổ phần Vật liệu xây dựng và Kinh doanh tổng hợp - VVMI,-,-,4.589.131.875,-,-,-,,,,4589131875.0,,,
8,B > 8,8,Công ty CP công nghiệp ô tô - Vinacomin,-,-,1.185.155.754,-,-,-,,,,1185155754.0,,,
9,B > 9,9,Trường cao đẳng Than - Khoáng sản Việt Nam,-,-,241.965.000,-,-,-,,,,241965000.0,,,
10,B > 10,10,Tạp chí than - Khoáng sản Việt Nam,-,-,22.000.000,-,-,-,,,,22000000.0,,,
11,B > 11,11,Công ty CP Cơ khí mô Việt Bắc - VVMI,-,-,2.920.837.699,-,-,-,,,,2920837699.0,,,
12,B > 12,12,Viện Khoa học Công nghệ Mỏ - Vinacomin,-,-,100.000.000,-,-,-,,,,100000000.0,,,
13,B > 13,13,Bệnh viện Than Khoáng sản,-,-,29.625.160,-,-,-,,,,29625160.0,,,
14,B > 14,14,Viện cơ khí năng lượng và mỏ - vinacomin,-,-,5.932.997.200,-,-,-,,,,5932997200.0,,,
15,B > 15,15,Công ty kho vận đá bạc - Vinacomin,-,-,724.550.015,-,-,-,,,,724550015.0,,,
16,B > 16,16,Công ty CP Cơ khí Mạo Khê - Vinacomin,-,-,37.620.000,-,,-,,,,37620000.0,,,
