row_label_raw,row_label_full,col_0,31/12/2019(VND),01/01/2019(VND),numeric__31/12/2019(VND),numeric__01/01/2019(VND)
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,26.060.324.848,4.640.821.159,26060324848.0,4640821159.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",11.756.612.305,2.239.215.091,11756612305.0,2239215091.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,623.025.942,528.702.498,623025942.0,528702498.0
Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,13.680.686.601,1.872.903.570,13680686601.0,1872903570.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,893.598.552.737,1.024.282.284.224,893598552737.0,1024282284224.0
Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,28.654.024.056,21.919.121.007,28654024056.0,21919121007.0
Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,242.871.599.929,146.797.851.474,242871599929.0,146797851474.0
Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,27.005.656.390,28.092.521.711,27005656390.0,28092521711.0
Lỗ CLTG phân bổ không quá 5 năm,Lỗ CLTG phân bổ không quá 5 năm,Lỗ CLTG phân bổ không quá 5 năm,581.895.799.972,817.185.315.360,581895799972.0,817185315360.0
Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,13.171.472.390,10.287.474.672,13171472390.0,10287474672.0
Cộng,Cộng,Cộng,919.658.877.585,1.028.923.105.383,919658877585.0,1028923105383.0
