row_label_raw,row_label_full,col_0,col_1,01/01/2019(VND) > Giá trị,01/01/2019(VND) > Khả năngtrà nợ,Tăng trong năm,Giảm trong năm,31/12/2019(VND) > Giá trị,31/12/2019(VND) > Khả năngtrà nợ,numeric__col_1,numeric__01/01/2019(VND) > Giá trị,numeric__01/01/2019(VND) > Khả năngtrà nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2019(VND) > Giá trị,numeric__31/12/2019(VND) > Khả năngtrà nợ
a.,a.,a.,Gốc vay và nợ ngắn hạn,486.610.813.627,486.610.813.627,2.687.670.731.382,2.192.026.256.479,982.255.288.530,982.255.288.530,,486610813627.0,486610813627.0,2687670731382.0,2192026256479.0,982255288530.0,982255288530.0
a.1,a.1,a.1,Gốc vay ngắn hạn,486.610.813.627,486.610.813.627,2.687.670.731.382,2.192.026.256.479,982.255.288.530,982.255.288.530,,486610813627.0,486610813627.0,2687670731382.0,2192026256479.0,982255288530.0,982255288530.0
a.1,a.1,a.1,Vay ngân hàng,480.110.813.627,480.110.813.627,2.687.670.731.382,2.185.526.256.479,982.255.288.530,982.255.288.530,,480110813627.0,480110813627.0,2687670731382.0,2185526256479.0,982255288530.0,982255288530.0
a.1,a.1,a.1,Vay đối tượng khác,6.500.000.000,6.500.000.000,-,6.500.000.000,-,-,,6500000000.0,6500000000.0,,6500000000.0,,
a.2,a.2,a.2,Gốc nợ ngắn hạn,-,-,,,,,,,,,,,
b.,a.2 > b.,b.,Gốc vay và nợ dài hạn,12.320.434.657.908,12.320.434.657.908,487.708.714.456,2.932.852.263.684,9.875.291.108.680,9.875.291.108.680,,12320434657908.0,12320434657908.0,487708714456.0,2932852263684.0,9875291108680.0,9875291108680.0
b.1,a.2 > b.1,b.1,Gốc vay dài hạn,10.912.585.057.908,10.912.585.057.908,485.558.314.456,2.482.852.263.684,8.915.291.108.680,8.915.291.108.680,,10912585057908.0,10912585057908.0,485558314456.0,2482852263684.0,8915291108680.0,8915291108680.0
-,a.2 > -,-,Từ 1 năm đến 5 năm,24.806.002.500,24.806.002.500,23.730.200.034,11.844.715.000,36.691.487.534,36.691.487.534,,24806002500.0,24806002500.0,23730200034.0,11844715000.0,36691487534.0,36691487534.0
-,a.2 > -,-,Vay ngân hàng,24.806.002.500,24.806.002.500,23.730.200.034,11.844.715.000,36.691.487.534,36.691.487.534,,24806002500.0,24806002500.0,23730200034.0,11844715000.0,36691487534.0,36691487534.0
-,a.2 > -,-,Trên 5 năm,10.887.779.055.408,10.887.779.055.408,461.828.114.422,2.471.007.548.684,8.878.599.621.146,8.878.599.621.146,,10887779055408.0,10887779055408.0,461828114422.0,2471007548684.0,8878599621146.0,8878599621146.0
-,a.2 > -,-,Vay ngân hàng,4.975.439.203.126,4.975.439.203.126,436.422.771.872,1.081.740.252.281,4.330.121.722.717,4.330.121.722.717,,4975439203126.0,4975439203126.0,436422771872.0,1081740252281.0,4330121722717.0,4330121722717.0
-,a.2 > -,-,Vay Tập đoàn,5.912.339.852.282,5.912.339.852.282,25.405.342.550,1.389.267.296.403,4.548.477.898.429,4.548.477.898.429,,5912339852282.0,5912339852282.0,25405342550.0,1389267296403.0,4548477898429.0,4548477898429.0
b.2,a.2 > b.2,b.2,Gốc nợ dài hạn,1.407.849.600.000,1.407.849.600.000,2.150.400.000,450.000.000.000,960.000.000.000,960.000.000.000,,1407849600000.0,1407849600000.0,2150400000.0,450000000000.0,960000000000.0,960000000000.0
-,a.2 > -,-,Từ 5 năm đến 10 năm,1.407.849.600.000,1.407.849.600.000,2.150.400.000,450.000.000.000,960.000.000.000,960.000.000.000,,1407849600000.0,1407849600000.0,2150400000.0,450000000000.0,960000000000.0,960000000000.0
-,a.2 > -,-,Trái phiếu phát hành (*),1.407.849.600.000,1.407.849.600.000,2.150.400.000,450.000.000.000,960.000.000.000,960.000.000.000,,1407849600000.0,1407849600000.0,2150400000.0,450000000000.0,960000000000.0,960000000000.0
-,a.2 > -,-,Cộng,12.807.045.471.535,12.807.045.471.535,3.175.379.445.838,5.124.878.520.163,10.857.546.397.210,10.857.546.397.210,,12807045471535.0,12807045471535.0,3175379445838.0,5124878520163.0,10857546397210.0,10857546397210.0
