row_label_raw,row_label_full,col_0,31/12/2019(VND) > Giá trị,31/12/2019(VND) > Số có khả năng trả nợ,01/01/2019(VND) > Giá trị,01/01/2019(VND) > Số có khả năng trả nợ,numeric__31/12/2019(VND) > Giá trị,numeric__31/12/2019(VND) > Số có khả năng trả nợ,numeric__01/01/2019(VND) > Giá trị,numeric__01/01/2019(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,2.131.039.495.436,2.131.039.495.436,2.583.892.842.941,2.583.892.842.941,2131039495436.0,2131039495436.0,2583892842941.0,2583892842941.0
Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,883.178.627.715,883.178.627.715,1.460.276.726.038,1.460.276.726.038,883178627715.0,883178627715.0,1460276726038.0,1460276726038.0
Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,205.212.032.223,205.212.032.223,100.868.023.672,100.868.023.672,205212032223.0,205212032223.0,100868023672.0,100868023672.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,724.550.015,724.550.015,51.232.927.877,51.232.927.877,724550015.0,724550015.0,51232927877.0,51232927877.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,433.320.772.952,433.320.772.952,451.193.407.652,451.193.407.652,433320772952.0,433320772952.0,451193407652.0,451193407652.0
Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),142.176.996.535,142.176.996.535,142.879.245.824,142.879.245.824,142176996535.0,142176996535.0,142879245824.0,142879245824.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,10.525.823.121,10.525.823.121,10.532.619.821,10.532.619.821,10525823121.0,10525823121.0,10532619821.0,10532619821.0
CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,-,-,25.116.891.344,25.116.891.344,,,25116891344.0,25116891344.0
Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,68.340.024.355,68.340.024.355,11.343.985.106,11.343.985.106,68340024355.0,68340024355.0,11343985106.0,11343985106.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,387.560.668.520,387.560.668.520,330.449.015.607,330.449.015.607,387560668520.0,387560668520.0,330449015607.0,330449015607.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,399.547.194.901,399.547.194.901,399.805.189.215,399.805.189.215,399547194901.0,399547194901.0,399805189215.0,399805189215.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,399.547.194.901,399.547.194.901,399.805.189.215,399.805.189.215,399547194901.0,399547194901.0,399805189215.0,399805189215.0
Cộng,Cộng,Cộng,2.530.586.690.337,2.530.586.690.337,2.983.698.032.156,2.983.698.032.156,2530586690337.0,2530586690337.0,2983698032156.0,2983698032156.0
