row_label_raw,row_label_full,Số đầu năm,Năm nay > (121.321.894.749),VNDNăm trước > (233.956.079.434),numeric__Năm nay > (121.321.894.749),numeric__VNDNăm trước > (233.956.079.434)
Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,-,(12.451.876.358),,-12451876358.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,(2.761.917.100),(225.136.029.509),-2761917100.0,-225136029509.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,6.188.448.434,350.222.090.552,6188448434.0,350222090552.0
Số cuối năm,Số cuối năm,Số cuối năm,(117.895.363.415),(121.321.894.749),-117895363415.0,-121321894749.0
