row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Đã điều chỉnh lại - Thuyết minh số 33),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã điều chỉnh lại - Thuyết minh số 33)
300,300,300,C. NỘ PHẢI TRẢ,,3.021.196.180.133,3.174.411.155.028,,,3021196180133.0,3174411155028.0
310,310,310,I. Nợ ngắn hạn,,2.519.647.642.633,3.172.451.742.528,,,2519647642633.0,3172451742528.0
311,311,311,1. Phải trả người bán ngắn hạn,17.1,272.478.741.874,228.789.174.125,,171.0,272478741874.0,228789174125.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17.2,1.642.762.433.094,179.487.965.150,,172.0,1642762433094.0,179487965150.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,22.099.425.332,26.654.318.712,,18.0,22099425332.0,26654318712.0
314,314,314,4. Phải trả người lao động,,30.184.435.856,36.366.018.753,,,30184435856.0,36366018753.0
315,315,315,5. Chi phí phải trả ngắn hạn,19,227.170.461.961,103.759.210.503,,19.0,227170461961.0,103759210503.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,-,195.000.005,,,,195000005.0
319,319,319,7. Phải trả ngắn hạn khác,20,47.412.915.598,100.202.119.400,,20.0,47412915598.0,100202119400.0
320,320,320,8. Vay ngắn hạn,21,275.602.779.209,2.494.963.821.850,,21.0,275602779209.0,2494963821850.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,1.936.449.709,2.034.114.030,,,1936449709.0,2034114030.0
330,330,330,II. Nợ dài hạn,,501.548.537.500,1.959.412.500,,,501548537500.0,1959412500.0
338,338,338,1. Vay dài hạn,21,500.000.000.000,-,,21.0,500000000000.0,
342,342,342,2. Dự phòng phải trả dài hạn,,1.548.537.500,1.959.412.500,,,1548537500.0,1959412500.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,833.456.480.987,98.443.544.999,,,833456480987.0,98443544999.0
410,410,410,I. Vốn chủ sở hữu,22,833.456.480.987,98.443.544.999,,22.0,833456480987.0,98443544999.0
411,411,411,1. Vốn cổ phần,,2.146.078.400.000,1.446.078.400.000,,,2146078400000.0,1446078400000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.146.078.400.000,1.446.078.400.000,,,2146078400000.0,1446078400000.0
412,412,412,2. Thặng dư vốn cổ phần,,63.607.862.467,63.750.862.467,,,63607862467.0,63750862467.0
415,415,415,3. Cổ phiếu quỹ,,(552.965.000),(552.965.000),,,-552965000.0,-552965000.0
418,418,418,4. Quỹ đầu tư phát triển,,16.176.475.297,16.176.475.297,,,16176475297.0,16176475297.0
421,421,421,5. Lỗ lũy kế,,(1.391.853.291.777),(1.427.009.227.765),,,-1391853291777.0,-1427009227765.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(1.427.009.227.765),(901.243.957.070),,,-1427009227765.0,-901243957070.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế) năm nay,,35.155.935.988,(525.765.270.695),,,35155935988.0,-525765270695.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,3.854.652.661.120,3.272.854.700.027,,,3854652661120.0,3272854700027.0
