row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọnchuyển đổi vay,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọnchuyển đổi vay,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,,,,,,,
Số liệu đã trình bày trướcđây,Số đầu năm > Số liệu đã trình bày trướcđây,Số liệu đã trình bày trướcđây,1.400.939.400.000,51.798.842.848,6.743.618.619,(4.640.000),16.176.475.297,(151.422.996.026),1.324.230.700.738,1400939400000.0,51798842848.0,6743618619.0,-4640000.0,16176475297.0,-151422996026.0,1324230700738.0
Ảnh hưởng của các điềuchình hồi tố,Ảnh hưởng của các điềuchình hồi tố,Ảnh hưởng của các điềuchình hồi tố,,,,,,,,,,,,,,
- Thuyết minh số 33,Ảnh hưởng của các điềuchình hồi tố > - Thuyết minh số 33,- Thuyết minh số 33,-,-,-,-,-,(749.820.961.044),(749.820.961.044),,,,,,-749820961044.0,-749820961044.0
Đã điều chỉnh lại,Ảnh hưởng của các điềuchình hồi tố > Đã điều chỉnh lại,Đã điều chỉnh lại,1.400.939.400.000,51.798.842.848,6.743.618.619,(4.640.000),16.176.475.297,(901.243.957.070),574.409.739.694,1400939400000.0,51798842848.0,6743618619.0,-4640000.0,16176475297.0,-901243957070.0,574409739694.0
Lỗ thuần trong năm,Ảnh hưởng của các điềuchình hồi tố > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,,,(525.765.270.695),(525.765.270.695),,,,,,-525765270695.0,-525765270695.0
Phát hành cổ phiếu,Ảnh hưởng của các điềuchình hồi tố > Phát hành cổ phiếu,Phát hành cổ phiếu,45.139.000.000,,,,,,45.139.000.000,45139000000.0,,,,,,45139000000.0
Tăng do nhận sáp nhập,Ảnh hưởng của các điềuchình hồi tố > Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,,,,(548.325.000),,,(548.325.000),,,,-548325000.0,,,-548325000.0
Tăng vay chuyển đổi,Ảnh hưởng của các điềuchình hồi tố > Tăng vay chuyển đổi,Tăng vay chuyển đổi,,,5.208.401.000,,,,5.208.401.000,,,5208401000.0,,,,5208401000.0
Vay chuyển đổi đến hànhung không được chuyển đổi,Ảnh hưởng của các điềuchình hồi tố > Vay chuyển đổi đến hànhung không được chuyển đổi,Vay chuyển đổi đến hànhung không được chuyển đổi,,11.952.019.619,(11.952.019.619),,,,,,11952019619.0,-11952019619.0,,,,
Số cuối năm,Ảnh hưởng của các điềuchình hồi tố > Số cuối năm,Số cuối năm,1.446.078.400.000,63.750.862.467,,(552.965.000),16.176.475.297,(1.427.009.227.765),98.443.544.999,1446078400000.0,63750862467.0,,-552965000.0,16176475297.0,-1427009227765.0,98443544999.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.446.078.400.000,63.750.862.467,,(552.965.000),16.176.475.297,(1.427.009.227.765),98.443.544.999,1446078400000.0,63750862467.0,,-552965000.0,16176475297.0,-1427009227765.0,98443544999.0
Phát hành cổ phiếu (*),Năm nay: > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),700.000.000.000,(143.000.000),,,,,699.857.000.000,700000000000.0,-143000000.0,,,,,699857000000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,35.155.935.988,35.155.935.988,,,,,,35155935988.0,35155935988.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,2.146.078.400.000,63.607.862.467,,(552.965.000),16.176.475.297,(1.391.853.291.777),833.456.480.987,2146078400000.0,63607862467.0,,-552965000.0,16176475297.0,-1391853291777.0,833456480987.0
