row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Điều chỉnh lại- Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Điều chỉnh lại- Thuyết minh số 33)
Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,35.155.935.988,(525.765.270.695),35155935988.0,-525765270695.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,7.031.187.198,(105.153.054.139),7031187198.0,-105153054139.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí lãi vay,Các khoản điều chỉnh: > Chi phí lãi vay,Chi phí lãi vay,17.047.954.897,-,17047954897.0,
"Hao hụt, mất mát hàng tồn kho","Các khoản điều chỉnh: > Hao hụt, mất mát hàng tồn kho","Hao hụt, mất mát hàng tồn kho",-,36.243.240.104,,36243240104.0
Lỗ do sáp nhập,Các khoản điều chỉnh: > Lỗ do sáp nhập,Lỗ do sáp nhập,-,15.109.709.415,,15109709415.0
Các khoản phạt,Các khoản điều chỉnh: > Các khoản phạt,Các khoản phạt,-,2.433.675.857,,2433675857.0
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,3.602.705.477,530.866.541,3602705477.0,530866541.0
Dự phòng giảm giá hàng tồn kho,Các khoản điều chỉnh: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(1.126.729.865),14.273.072.959,-1126729865.0,14273072959.0
Thay đổi chi phí phải trả,Các khoản điều chỉnh: > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,3.058.697.635,7.384.992.870,3058697635.0,7384992870.0
Dự phòng nợ phải thu khó đòi,Các khoản điều chỉnh: > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(685.306.267),(13.209.149.256),-685306267.0,-13209149256.0
Dự phòng đầu tư tài chính,Các khoản điều chỉnh: > Dự phòng đầu tư tài chính,Dự phòng đầu tư tài chính,255.807.087,5.015.014.824,255807087.0,5015014824.0
Dự phòng trợ cấp thời việc,Các khoản điều chỉnh: > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,(82.175.000),289.562.500,-82175000.0,289562500.0
Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Các khoản điều chỉnh: > Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,5.436.609.870,(2.675.438.546),5436609870.0,-2675438546.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(34.538.751.032),-,-34538751032.0,
Lỗ chuyển sang năm sau không ghi nhận tài sản thuế hoãn lại,Các khoản điều chỉnh: > Lỗ chuyển sang năm sau không ghi nhận tài sản thuế hoãn lại,Lỗ chuyển sang năm sau không ghi nhận tài sản thuế hoãn lại,-,39.757.506.871,,39757506871.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,-,-,,
