row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,279.757.352.294,220.120.277.649,18.551.655.464,13.186.313.823,531.615.599.230,279757352294.0,220120277649.0,18551655464.0,13186313823.0,531615599230.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,66.048.000,5.085.568.860,1.181.010.909,69.502.000,6.402.129.769,66048000.0,5085568860.0,1181010909.0,69502000.0,6402129769.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,6.461.475.558,1.502.607.589,-,-,7.964.083.147,6461475558.0,1502607589.0,,,7964083147.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(1.536.022.680),-,(1.536.022.680),,,-1536022680.0,,-1536022680.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,286.284.875.852,226.708.454.098,18.196.643.693,13.255.815.823,544.445.789.466,286284875852.0,226708454098.0,18196643693.0,13255815823.0,544445789466.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,1.265.093.724,12.066.212.190,3.913.086.166,1.564.936.231,18.809.328.311,1265093724.0,12066212190.0,3913086166.0,1564936231.0,18809328311.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(54.910.334.698),(88.731.956.326),(11.876.447.661),(2.104.025.232),(157.622.763.917),-54910334698.0,-88731956326.0,-11876447661.0,-2104025232.0,-157622763917.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(12.571.167.447),(14.097.177.313),(1.642.569.607),(1.475.355.184),(29.786.269.551),-12571167447.0,-14097177313.0,-1642569607.0,-1475355184.0,-29786269551.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,1.507.885.445,-,1.507.885.445,,,1507885445.0,,1507885445.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(67.481.502.145),(102.829.133.639),(12.011.131.823),(3.579.380.416),(185.901.148.023),-67481502145.0,-102829133639.0,-12011131823.0,-3579380416.0,-185901148023.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,224.847.017.596,131.388.321.323,6.675.207.803,11.082.288.591,373.992.835.313,224847017596.0,131388321323.0,6675207803.0,11082288591.0,373992835313.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,218.803.373.707,123.879.320.459,6.185.511.870,9.676.435.407,358.544.641.443,218803373707.0,123879320459.0,6185511870.0,9676435407.0,358544641443.0
