row_label_raw,row_label_full,Số đầu năm,Năm nay > (76.586.883.841),VNDNăm trước > (48.376.720.341),numeric__Năm nay > (76.586.883.841),numeric__VNDNăm trước > (48.376.720.341)
Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,-,(5.221.519.046),,-5221519046.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,(4.852.818.440),(22.988.644.454),-4852818440.0,-22988644454.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,10.486.467.766,-,10486467766.0,
Số cuối năm,Số cuối năm,Số cuối năm,(70.953.234.515),(76.586.883.841),-70953234515.0,-76586883841.0
