row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,Chênh lệch tỷ giá,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__Chênh lệch tỷ giá,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
Vay các tổ chức khác,Ngắn hạn > Vay các tổ chức khác,Vay các tổ chức khác,1.367.725.527.786,50.000.000.000,(325.389.000.000),(1.092.336.527.786),-,-,1367725527786.0,50000000000.0,-325389000000.0,-1092336527786.0,,
Vay ngân hàng(Thuyết minh số 21.1),Ngắn hạn > Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),791.238.294.064,-,(517.541.537.135),-,(93.977.720),273.602.779.209,791238294064.0,,-517541537135.0,,-93977720.0,273602779209.0
Vay cá nhân,Ngắn hạn > Vay cá nhân,Vay cá nhân,300.000.000.000,410.000.000.000,(210.000.000.000),(500.000.000.000),-,-,300000000000.0,410000000000.0,-210000000000.0,-500000000000.0,,
Vay dài hạn đến hạn trả,Ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,36.000.000.000,-,(36.000.000.000),-,-,-,36000000000.0,,-36000000000.0,,,
Vay bên liên quan(Thuyết minh số 21.3),Ngắn hạn > Vay bên liên quan(Thuyết minh số 21.3),Vay bên liên quan(Thuyết minh số 21.3),-,2.000.000.000,-,-,-,2.000.000.000,,2000000000.0,,,,2000000000.0
,,,2.494.963.821.850,462.000.000.000,(1.088.930.537.135),(1.592.336.527.786),(93.977.720),275.602.779.209,2494963821850.0,462000000000.0,-1088930537135.0,-1592336527786.0,-93977720.0,275602779209.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,
Vay cá nhân(Thuyết minh số 21.2),Dài hạn > Vay cá nhân(Thuyết minh số 21.2),Vay cá nhân(Thuyết minh số 21.2),-,-,-,500.000.000.000,-,500.000.000.000,,,,500000000000.0,,500000000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.494.963.821.850,462.000.000.000,(1.088.930.537.135),(1.092.336.527.786),(93.977.720),775.602.779.209,2494963821850.0,462000000000.0,-1088930537135.0,-1092336527786.0,-93977720.0,775602779209.0
