row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,52.605.169.094,65.693.308.615,(92.533.198.583),25.765.279.126,52605169094.0,65693308615.0,-92533198583.0,25765279126.0
Thuế nhập khẩu,Phải thu > Thuế nhập khẩu,Thuế nhập khẩu,2.469.777.715,895.588.475,(33.753.285),3.331.612.905,2469777715.0,895588475.0,-33753285.0,3331612905.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,55.074.946.809,66.588.897.090,(92.566.951.868),29.096.892.031,55074946809.0,66588897090.0,-92566951868.0,29096892031.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,13.567.180.309,92.542.563.518,(97.093.650.975),9.016.092.852,13567180309.0,92542563518.0,-97093650975.0,9016092852.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.326.411.344,-,-,8.326.411.344,8326411344.0,,,8326411344.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.068.784.536,4.676.664.913,(4.680.470.836),4.064.978.613,4068784536.0,4676664913.0,-4680470836.0,4064978613.0
Khác,Phải nộp > Khác,Khác,691.942.523,-,-,691.942.523,691942523.0,,,691942523.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,26.654.318.712,97.219.228.431,(101.774.121.811),22.099.425.332,26654318712.0,97219228431.0,-101774121811.0,22099425332.0
