row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Số đầu năm (Đã điều chỉnh lại - Thuyết minh số 33),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Số đầu năm (Đã điều chỉnh lại - Thuyết minh số 33)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,,1.303.807.788.028,851.844.174.641,,,1303807788028.0,851844174641.0
02,02,02,2. Các khoản giảm trừ doanh thu,,(276.229.139),(347.572.905),,,-276229139.0,-347572905.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,23.1,1.303.531.558.889,851.496.601.736,,231.0,1303531558889.0,851496601736.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,24,(1.061.459.597.495),(1.054.877.584.423),,24.0,-1061459597495.0,-1054877584423.0
20,20,20,5. Lợi nhuận (lỗ) gộp về bán hàng và cung cấp dịch vụ,,242.071.961.394,(203.380.982.687),,,242071961394.0,-203380982687.0
21,21,21,6. Doanh thu hoạt động tài chính,23.2,33.148.595.371,51.855.284.023,,232.0,33148595371.0,51855284023.0
22,22,22,7. Chi phí tài chính,25,(131.906.703.254),(397.653.157.384),,25.0,-131906703254.0,-397653157384.0
23,23,23,- Trong đó: Chi phí lãi vay,,(127.266.071.877),(208.857.085.815),,,-127266071877.0,-208857085815.0
25,25,25,8. Chi phí bán hàng,26,(8.611.664.337),(18.694.041.356),,26.0,-8611664337.0,-18694041356.0
26,26,26,9. Chi phí quản lý doanh nghiệp,27,(81.923.231.935),27.754.391.987,,27.0,-81923231935.0,27754391987.0
30,30,30,10. Lợi nhuận (lỗ) thuần từ hoạt động kinh doanh,,52.778.957.239,(540.118.505.417),,,52778957239.0,-540118505417.0
31,31,31,11. Thu nhập khác,28,2.803.684.070,29.599.975.524,,28.0,2803684070.0,29599975524.0
32,32,32,12. Chi phí khác,28,(20.426.705.321),(15.246.740.802),,28.0,-20426705321.0,-15246740802.0
40,40,40,13. (Lỗ) lợi nhuận khác,28,(17.623.021.251),14.353.234.722,,28.0,-17623021251.0,14353234722.0
50,50,50,14. Tổng lợi nhuận (lỗ) kế toán trước thuế,,35.155.935.988,(525.765.270.695),,,35155935988.0,-525765270695.0
51,51,51,15. Chi phí thuế TNDN hiện hành,30.1,-,-,,301.0,,
60,60,60,16. Lợi nhuận (lỗ) sau thuế TNDN,,35.155.935.988,(525.765.270.695),,,35155935988.0,-525765270695.0
