row_label_raw,row_label_full,Phải thu từ các bên liên quan(Thuyết minh số 31),Số cuối năm > 90.997.617.609,VND Số đầu năm > 141.781.693.575,numeric__Số cuối năm > 90.997.617.609,numeric__VND Số đầu năm > 141.781.693.575
Phải thu từ các bên khác,Phải thu từ các bên khác,Phải thu từ các bên khác,650.502.908.170,627.997.717.295,650502908170.0,627997717295.0
- Công ty TNHH Lâm nghiệp Hoàng Nam,- Công ty TNHH Lâm nghiệp Hoàng Nam,- Công ty TNHH Lâm nghiệp Hoàng Nam,84.611.869.162,84.611.869.162,84611869162.0,84611869162.0
- AFI,- AFI,- AFI,64.874.410.500,78.468.721.746,64874410500.0,78468721746.0
- GME,- GME,- GME,53.068.668.227,64.412.110.111,53068668227.0,64412110111.0
- Các khách hàng khác,- Các khách hàng khác,- Các khách hàng khác,447.947.960.281,400.505.016.276,447947960281.0,400505016276.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,741.500.525.779,769.779.410.870,741500525779.0,769779410870.0
Dự phòng các khoản phải thu khách hàng khó đòi,Dự phòng các khoản phải thu khách hàng khó đòi,Dự phòng các khoản phải thu khách hàng khó đòi,(84.884.359.560),(91.107.230.947),-84884359560.0,-91107230947.0
GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,656.616.166.219,678.672.179.923,656616166219.0,678672179923.0
