row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay dài hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,35.800.137.000,34.491.840.000,,,35800137000.0,34491840000.0
Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Phải thu về cho vay dài hạn > Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty Cổ phần Thương mại Xuất nhập khẩu Trường Thành Đắk Nông,Công ty con,Cho vay,28.353.256.553,-,,,28353256553.0,
Công ty Cổ phần Lâm Nghiệp Trường Thành,Phải thu về cho vay dài hạn > Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Cho vay,120.000.000,-,,,120000000.0,
,,,,,64.273.393.553,34.491.840.000,,,64273393553.0,34491840000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Cho mượnLãi cho vay,54.577.456.81016.921.824.443,54.599.296.8109.155.212.779,,,5.457745681016922e+21,5.459929681091552e+20
Công ty Cổ phần Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Lãi cho vayCho mượn,18.540.646.105104.273.100,9.757.894.21923.978.191.747,,,1.8540646105104273e+19,9.757894219239782e+20
Công ty Cổ phần Lâm nghiệp Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty con,Lãi cho vayChi hộ,4.147.218.971113.546.200,189.777.631-,,,4.147218971113546e+18,
Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Phải thu ngắn hạn khác > Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty Cổ phần Vật liệu Xây dựng Trường Thành – Phước An,Công ty con,Lãi cho vayChi hộ,4.747.696.32551.955.100,3.356.954.159-,,,4.747696325519551e+17,
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Phải thu ngắn hạn khác > Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Lãi cho vayCho mượn,1.798.906.664452.955.100,1.023.890.000400.000.000,,,1.7989066644529551e+18,1.0238900004e+18
Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Phải thu ngắn hạn khác > Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty Cổ phần Nông Lâm Công Nghiệp Trường An,Công ty con,Lãi cho vayChi hộ,1.223.333.33851.955.100,615.000.002-,,,1.223333338519551e+17,
Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Phải thu ngắn hạn khác > Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty con,Lãi cho vayCho mượn,4.946.872.2263.788.975.915,1.497.226.0093.716.202.815,,,4.946872226378898e+19,1.4972260093716204e+19
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Lãi cho vayChi hộ,286.968.83652.500.000,549.261.613-,,,2.86968836525e+16,
