row_label_raw,row_label_full,Tên công ty,Số cuối năm > Tỷ lệ sở hữu(%),Số cuối năm > Giá gốcVND,Số cuối năm > Dự phòngVND,Số cuối năm > Giá trị còn lạiVND,Số đầu năm > Tỷ lệ sở hữu(%),Số đầu năm > Giá gốcVND,Số đầu năm > Dự phòngVND,Số đầu năm > Giá trị còn lạiVND,Địa điểm,Ngành nghề kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu(%),numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số cuối năm > Giá trị còn lạiVND,numeric__Số đầu năm > Tỷ lệ sở hữu(%),numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Dự phòngVND,numeric__Số đầu năm > Giá trị còn lạiVND,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty Cổ phầnTrường Thành,Công ty Cổ phầnTrường Thành,Công ty Cổ phầnTrường Thành,"70,00",21.000.000.000,(21.000.000.000),,"70,00",21.000.000.000,(21.000.000.000),,Đắk Lắk,Sản xuấtđồ gỗ,70.0,21000000000.0,-21000000000.0,,70.0,21000000000.0,-21000000000.0,,,
Công ty Cổ phần Chế biếnGỗ Trường Thành,Công ty Cổ phần Chế biếnGỗ Trường Thành,Công ty Cổ phần Chế biếnGỗ Trường Thành,"70,00",19.600.000.000,(19.600.000.000),,"70,00",19.600.000.000,(10.693.123.512),8.906.876.488,Đắk Lắk,Sản xuấtđồ gỗ,70.0,19600000000.0,-19600000000.0,,70.0,19600000000.0,-10693123512.0,8906876488.0,,
Công ty Cổ phầnTrường Thành Xanh,Công ty Cổ phầnTrường Thành Xanh,Công ty Cổ phầnTrường Thành Xanh,"99,99",53.347.393.305,(19.738.722.331),33.608.670.974,"99,99",53.347.393.305,(20.959.129.746),32.388.263.559,Phú Yên,Trồng rừng,99.99,53347393305.0,-19738722331.0,33608670974.0,99.99,53347393305.0,-20959129746.0,32388263559.0,,
Công ty Cổ phần Lâmnghiệp Trường Thành,Công ty Cổ phần Lâmnghiệp Trường Thành,Công ty Cổ phần Lâmnghiệp Trường Thành,"99,97",59.564.847.684,(12.550.797.845),47.014.049.839,"99,97",59.564.847.684,(20.476.637.367),39.088.210.317,Đắk Lắk,Trồng rừng,99.97,59564847684.0,-12550797845.0,47014049839.0,99.97,59564847684.0,-20476637367.0,39088210317.0,,
Công ty Cổ phần Lâmnghiệp Trường ThànhĐắk Nông,Công ty Cổ phần Lâmnghiệp Trường ThànhĐắk Nông,Công ty Cổ phần Lâmnghiệp Trường ThànhĐắk Nông,"99,44",1.777.000.000,(1.777.000.000),,"99,44",1.777.000.000,(1.777.000.000),,Đắk Nông,Trồng rừng,99.44,1777000000.0,-1777000000.0,,99.44,1777000000.0,-1777000000.0,,,
Công ty TNHH Kỹ nghệGỗ Trường Thành,Công ty TNHH Kỹ nghệGỗ Trường Thành,Công ty TNHH Kỹ nghệGỗ Trường Thành,"97,50",12.480.000.000,(6.459.525.163),6.020.474.837,"97,50",12.480.000.000,(6.613.949.342),5.866.050.658,TP. HCM,Thương mại,97.5,12480000000.0,-6459525163.0,6020474837.0,97.5,12480000000.0,-6613949342.0,5866050658.0,,
Công ty Cổ phần Chế biếnGỗ Trường Thành M'Drak,Công ty Cổ phần Chế biếnGỗ Trường Thành M'Drak,Công ty Cổ phần Chế biếnGỗ Trường Thành M'Drak,"90,25",9.885.456.454,(9.885.456.454),,"90,25",9.885.456.454,(8.526.724.278),1.358.732.176,Đắk Lắk,Sản xuấtđồ gỗ,90.25,9885456454.0,-9885456454.0,,90.25,9885456454.0,-8526724278.0,1358732176.0,,
Công ty Cổ phần Thươngmại XNK Trường ThànhĐắk Nông,Công ty Cổ phần Thươngmại XNK Trường ThànhĐắk Nông,Công ty Cổ phần Thươngmại XNK Trường ThànhĐắk Nông,"94,75",18.950.000.000,,18.950.000.000,"94,75",18.950.000.000,,18.950.000.000,Đắk Nông,Thương mại,94.75,18950000000.0,,18950000000.0,94.75,18950000000.0,,18950000000.0,,
Công ty Cổ phầnCông nghiệp GỗTrường Thành (**),Công ty Cổ phầnCông nghiệp GỗTrường Thành (**),Công ty Cổ phầnCông nghiệp GỗTrường Thành (**),-,,-,,"68,52",12.571.430.000,,12.571.430.000,Phú Yên,Sản xuấtđồ gỗ,,,,,68.52,12571430000.0,,12571430000.0,,
Công ty Cổ phần Trồngrừng Trường Thành,Công ty Cổ phần Trồngrừng Trường Thành,Công ty Cổ phần Trồngrừng Trường Thành,"79,89",26.809.360.000,(7.620.169.310),19.189.190.690,"79,89",26.809.360.000,(8.792.409.076),18.016.950.924,Đắk Lắk,Trồng rừng,79.89,26809360000.0,-7620169310.0,19189190690.0,79.89,26809360000.0,-8792409076.0,18016950924.0,,
Công ty Cổ phần Quản lýCụm Công nghiệpTrường Thành - Ea H'leo,Công ty Cổ phần Quản lýCụm Công nghiệpTrường Thành - Ea H'leo,Công ty Cổ phần Quản lýCụm Công nghiệpTrường Thành - Ea H'leo,"97,30",5.400.000.000,(4.802.125.805),597.874.195,"97,30",5.400.000.000,(1.889.161.486),3.510.838.514,Đắk Lắk,Khu Côngnghiệp,97.3,5400000000.0,-4802125805.0,597874195.0,97.3,5400000000.0,-1889161486.0,3510838514.0,,
Công ty Cổ phần Lâm sảnTrường Thành (*),Công ty Cổ phần Lâm sảnTrường Thành (*),Công ty Cổ phần Lâm sảnTrường Thành (*),"98,00",,,,"98,00",,,,Đắk Lắk,Trồng rừng,98.0,,,,98.0,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,228.814.057.443,(103.433.796.908),125.380.260.535,,241.385.487.443,(100.728.134.807),140.657.352.636,,,,228814057443.0,-103433796908.0,125380260535.0,,241385487443.0,-100728134807.0,140657352636.0,,
