row_label_raw,row_label_full,Số dư cuối năm,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
Tiền gửi từ các công ty con,Tiền gửi từ các công ty con,Tiền gửi từ các công ty con,436.655,626.657,436655.0,626657.0
Tiền gửi từ công ty liên doanh và liên kết,Tiền gửi từ công ty liên doanh và liên kết,Tiền gửi từ công ty liên doanh và liên kết,16.651,15.432,16651.0,15432.0
Tiền gửi từ các bên liên quan khác (*),Tiền gửi từ các bên liên quan khác (*),Tiền gửi từ các bên liên quan khác (*),351.001,346.428,351001.0,346428.0
Tiền gửi tại một công ty con,Tiền gửi tại một công ty con,Tiền gửi tại một công ty con,27.145,57.056,27145.0,57056.0
Cho một công ty con vay,Cho một công ty con vay,Cho một công ty con vay,461.926,408.968,461926.0,408968.0
Cho các bên liên quan khác vay (*),Cho các bên liên quan khác vay (*),Cho các bên liên quan khác vay (*),19.932,416.227,19932.0,416227.0
Đầu tư vào trái phiếu phát hành bởi một bên liên quan khác (*),Đầu tư vào trái phiếu phát hành bởi một bên liên quan khác (*),Đầu tư vào trái phiếu phát hành bởi một bên liên quan khác (*),-,1.000.000,,1000000.0
Tạm ứng và khoản phải thu từ các bên liên quan khác (*),Tạm ứng và khoản phải thu từ các bên liên quan khác (*),Tạm ứng và khoản phải thu từ các bên liên quan khác (*),-,156.091,,156091.0
Lãi dự thu từ tiền gửi tại một công ty con,Lãi dự thu từ tiền gửi tại một công ty con,Lãi dự thu từ tiền gửi tại một công ty con,72,120,72.0,120.0
Lãi dự thu từ khoản cho vay một công ty con,Lãi dự thu từ khoản cho vay một công ty con,Lãi dự thu từ khoản cho vay một công ty con,1.991,2.272,1991.0,2272.0
Lãi dự thu từ các khoản cho vay các bên liên quan khác (*),Lãi dự thu từ các khoản cho vay các bên liên quan khác (*),Lãi dự thu từ các khoản cho vay các bên liên quan khác (*),491,14.854,491.0,14854.0
Lãi dự thu từ trái phiếu phát hành bởi một bên liên quan khác (*),Lãi dự thu từ trái phiếu phát hành bởi một bên liên quan khác (*),Lãi dự thu từ trái phiếu phát hành bởi một bên liên quan khác (*),-,141.152,,141152.0
Lãi dự chi cho tiền gửi từ các công ty con,Lãi dự chi cho tiền gửi từ các công ty con,Lãi dự chi cho tiền gửi từ các công ty con,783,1.804,783.0,1804.0
Lãi dự chi cho tiền gửi từ công ty liên doanh và liên kết,Lãi dự chi cho tiền gửi từ công ty liên doanh và liên kết,Lãi dự chi cho tiền gửi từ công ty liên doanh và liên kết,59,50,59.0,50.0
Lãi dự chi cho tiền gửi từ các bên liên quan khác (*),Lãi dự chi cho tiền gửi từ các bên liên quan khác (*),Lãi dự chi cho tiền gửi từ các bên liên quan khác (*),2.677,2.868,2677.0,2868.0
Tiền nhận ủy thác đầu tư từ các bên liên quan khác (*),Tiền nhận ủy thác đầu tư từ các bên liên quan khác (*),Tiền nhận ủy thác đầu tư từ các bên liên quan khác (*),9.500,9.500,9500.0,9500.0
Lợi nhuận được chia phải thu từ các công ty con,Lợi nhuận được chia phải thu từ các công ty con,Lợi nhuận được chia phải thu từ các công ty con,166.532,113.474,166532.0,113474.0
Cổ tức phải thu từ một bên liên quan khác (*),Cổ tức phải thu từ một bên liên quan khác (*),Cổ tức phải thu từ một bên liên quan khác (*),-,9.500,,9500.0
