row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2016Triệu VND,2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2016Triệu VND,numeric__2015Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,16.211.810,13.867.746,,24.0,16211810.0,13867746.0
2,2,2,Chi phí lãi và các chi phí tương tự,25,(9.524.601),(8.230.631),,25.0,-9524601.0,-8230631.0
I,I,I,Thu nhập lãi thuần,,6.687.209,5.637.115,,,6687209.0,5637115.0
3,3,3,Thu nhập từ hoạt động dịch vụ,26,1.142.409,907.623,,26.0,1142409.0,907623.0
4,4,4,Chi phí hoạt động dịch vụ,27,(290.999),(246.215),,27.0,-290999.0,-246215.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,851.410,661.408,,,851410.0,661408.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,28,229.777,119.964,,28.0,229777.0,119964.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,29,3.638,14.400,,29.0,3638.0,14400.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,30,(892.902),(767.167),,30.0,-892902.0,-767167.0
5,5,5,Thu nhập từ hoạt động khác,,277.497,267.890,,,277497.0,267890.0
6,6,6,Chi phí hoạt động khác,,(10.971),(32.913),,,-10971.0,-32913.0
VI,VI,VI,Lãi thuần từ hoạt động khác,31,266.526,234.977,,31.0,266526.0,234977.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",32,189.767,134.957,,32.0,189767.0,134957.0
VIII,VIII,VIII,Chi phí hoạt động,33,(4.527.449),(3.900.233),,33.0,-4527449.0,-3900233.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,2.807.976,2.135.421,,,2807976.0,2135421.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,34,(1.207.198),(874.250),,34.0,-1207198.0,-874250.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,1.600.778,1.261.171,,,1600778.0,1261171.0
