row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016 Triệu VND,31/12/2015 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016 Triệu VND,numeric__31/12/2015 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,3.541.348,2.806.053,,4.0,3541348.0,2806053.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,5.119.306,4.608.680,,5.0,5119306.0,4608680.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,8.593.981,10.578.062,,6.0,8593981.0,10578062.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,6.423.210,6.018.585,,,6423210.0,6018585.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,2.342.651,4.759.618,,,2342651.0,4759618.0
3,A > 3,3,Dự phòng rủi ro,,(171.880),(200.141),,,-171880.0,-200141.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,720.577,-,,7.0,720577.0,
1,A > 1,1,Chứng khoán kinh doanh,,720.577,-,,,720577.0,
2,2,2,Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,,
V,2 > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,16.065,47.603,,8.0,16065.0,47603.0
VI,2 > VI,VI,Cho vay khách hàng,,159.258.785,131.601.223,,,159258785.0,131601223.0
1,2 > 1,1,Cho vay khách hàng,9,161.029.238,133.115.328,,9.0,161029238.0,133115328.0
2,2 > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(1.770.453),(1.514.105),,10.0,-1770453.0,-1514105.0
VIII,2 > VIII,VIII,Chứng khoán đầu tư,11,42.672.094,38.454.774,,11.0,42672094.0,38454774.0
1,2 > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,10.838.702,11.757.883,,,10838702.0,11757883.0
2,2 > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,34.775.806,28.734.645,,,34775806.0,28734645.0
3,2 > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(2.942.414),(2.037.754),,,-2942414.0,-2037754.0
IX,2 > IX,IX,"Góp vốn, đầu tư dài hạn",12,2.329.768,2.347.826,,12.0,2329768.0,2347826.0
1,2 > 1,1,Đầu tư vào công ty con,,2.140.000,2.140.000,,,2140000.0,2140000.0
2,2 > 2,2,Vốn góp liên doanh,,1.000,1.000,,,1000.0,1000.0
3,2 > 3,3,Đầu tư vào công ty liên kết,,200,200,,,200.0,200.0
4,2 > 4,4,Đầu tư dài hạn khác,,199.537,217.204,,,199537.0,217204.0
5,2 > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(10.969),(10.578),,,-10969.0,-10578.0
X,2 > X,X,Tài sản cố định,,2.769.593,2.427.215,,,2769593.0,2427215.0
1,2 > 1,1,Tài sản cố định hữu hình,13,2.283.144,2.002.407,,13.0,2283144.0,2002407.0
a,2 > a,a,Nguyên giá tài sản cố định,,3.580.267,3.127.099,,,3580267.0,3127099.0
b,2 > b,b,Hao mòn tài sản cố định,,(1.297.123),(1.124.692),,,-1297123.0,-1124692.0
3,2 > 3,3,Tài sản cố định vô hình,14,486.449,424.808,,14.0,486449.0,424808.0
a,2 > a,a,Nguyên giá tài sản cố định,,691.121,593.855,,,691121.0,593855.0
b,2 > b,b,Hao mòn tài sản cố định,,(204.672),(169.047),,,-204672.0,-169047.0
XII,2 > XII,XII,Tài sản Có khác,15,8.038.379,8.510.377,,15.0,8038379.0,8510377.0
1,2 > 1,1,Các khoản phải thu,,4.664.440,5.671.293,,,4664440.0,5671293.0
2,2 > 2,2,"Các khoản lãi, phí phải thu",,3.237.520,2.782.516,,,3237520.0,2782516.0
3,2 > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,22,-,2.800,,22.0,,2800.0
4,2 > 4,4,Tài sản Có khác,,653.326,615.826,,,653326.0,615826.0
5,2 > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(516.907),(562.058),,,-516907.0,-562058.0
,,,TỔNG TÀI SẢN,,233.059.896,201.381.813,,,233059896.0,201381813.0
