row_label_raw,row_label_full,Chi tiết cơ sở xác định giá trị tài sản bảo đảm,31/12/2016Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm,31/12/2015Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm,numeric__31/12/2016Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm,numeric__31/12/2015Giá trị ước tínhTriệu VND > Chi tiết cơ sở xác định giá trị tài sản bảo đảm
Cổ phiếu niêm yết+ Dựa vào giá chào mua (*),Cổ phiếu niêm yết+ Dựa vào giá chào mua (*),Cổ phiếu niêm yết+ Dựa vào giá chào mua (*),1.961.423,2.139.733,1961423.0,2139733.0
Cổ phiếu chưa niêm yết và vốn góp vào công ty TNHH+ Dựa trên giá trị tài sản thuần theo sổ sách,Cổ phiếu chưa niêm yết và vốn góp vào công ty TNHH+ Dựa trên giá trị tài sản thuần theo sổ sách,Cổ phiếu chưa niêm yết và vốn góp vào công ty TNHH+ Dựa trên giá trị tài sản thuần theo sổ sách,513.118,561.709,513118.0,561709.0
+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,+ Dựa trên giá trị thị trường của bất động sản mà doanh nghiệp đang sở hữu hoặc có quyền khai thác,75.001,76.324,75001.0,76324.0
+ Dựa trên mô hình định giá,+ Dựa trên mô hình định giá,+ Dựa trên mô hình định giá,124.832,247.011,124832.0,247011.0
+ Dựa trên giá chuyển nhượng gần nhất,+ Dựa trên giá chuyển nhượng gần nhất,+ Dựa trên giá chuyển nhượng gần nhất,1.386.125,1.497.015,1386125.0,1497015.0
Các khoản phải thu - giá trị sổ sách,Các khoản phải thu - giá trị sổ sách,Các khoản phải thu - giá trị sổ sách,101.195,101.032,101195.0,101032.0
Thư bảo lãnh của ngân hàng khác - giá trị bảo lãnh,Thư bảo lãnh của ngân hàng khác - giá trị bảo lãnh,Thư bảo lãnh của ngân hàng khác - giá trị bảo lãnh,300.000,300.000,300000.0,300000.0
,,,4.461.694,4.922.824,4461694.0,4922824.0
Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác,,
Tiền gửi tại Ngân hàng - giá trị sổ sách,Chi tiết cơ sở xác định giá trị nguồn trả nợ khác > Tiền gửi tại Ngân hàng - giá trị sổ sách,Tiền gửi tại Ngân hàng - giá trị sổ sách,17.987,42.832,17987.0,42832.0
,,,4.479.681,4.965.656,4479681.0,4965656.0
