row_label_raw,row_label_full,col_0,Trên 3 thángTriệu VND,Đến 3 thángTriệu VND,Đến 1 thángTriệu VND,Từ trên 1đến 3 thángTriệu VND,Từ trên 3đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Trên 3 thángTriệu VND,numeric__Đến 3 thángTriệu VND,numeric__Đến 1 thángTriệu VND,numeric__Từ trên 1đến 3 thángTriệu VND,numeric__Từ trên 3đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.806.053,-,-,-,-,2.806.053,,,2806053.0,,,,,2806053.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,4.608.680,-,-,-,-,4.608.680,,,4608680.0,,,,,4608680.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,24.078,-,5.643.479,2.945.070,1.366.229,747.347,52.000,10.778.203,24078.0,,5643479.0,2945070.0,1366229.0,747347.0,52000.0,10778203.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,47.603,-,-,-,-,47.603,,,47603.0,,,,,47603.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.548.030,2.197.945,6.155.354,12.953.457,43.116.043,25.403.549,41.740.950,133.115.328,1548030.0,2197945.0,6155354.0,12953457.0,43116043.0,25403549.0,41740950.0,133115328.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,303.345,587.500,1.203.842,3.424.245,3.201.576,26.076.422,5.695.598,40.492.528,303345.0,587500.0,1203842.0,3424245.0,3201576.0,26076422.0,5695598.0,40492528.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.358.404,2.358.404,,,,,,,2358404.0,2358404.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,2.427.215,2.427.215,,,,,,,2427215.0,2427215.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,188.963,1.166.857,7.716.615,-,-,-,-,9.072.435,188963.0,1166857.0,7716615.0,,,,,9072435.0
,,,2.064.416,3.952.302,28.181.626,19.322.772,47.683.848,52.227.318,52.274.167,205.706.449,2064416.0,3952302.0,28181626.0,19322772.0,47683848.0,52227318.0,52274167.0,205706449.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,3.999.345,1.179.636,-,-,-,5.178.981,,,3999345.0,1179636.0,,,,5178981.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,1.570.361,658.614,12.919,103.118,15.403,2.360.415,,,1570361.0,658614.0,12919.0,103118.0,15403.0,2360415.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,56.133.796,28.345.322,58.409.907,32.490.440,15.537,175.395.002,,,56133796.0,28345322.0,58409907.0,32490440.0,15537.0,175395002.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,15.400,42.872,75.127,28.279,161.678,,,,15400.0,42872.0,75127.0,28279.0,161678.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3.000.000,-,3.000.000,,,,,,3000000.0,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.783.038,-,-,-,-,2.783.038,,,2783038.0,,,,,2783038.0
,,,-,-,64.486.540,30.198.972,58.465.698,35.668.685,59.219,188.879.114,,,64486540.0,30198972.0,58465698.0,35668685.0,59219.0,188879114.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.064.416,3.952.302,(36.304.914),(10.876.200),(10.781.850),16.558.633,52.214.948,16.827.335,2064416.0,3952302.0,-36304914.0,-10876200.0,-10781850.0,16558633.0,52214948.0,16827335.0
