row_label_raw,row_label_full,col_0,31/12/2016Giá trị ước tínhTriệu VND,31/12/2015Giá trị ước tínhTriệu VND,numeric__31/12/2016Giá trị ước tínhTriệu VND,numeric__31/12/2015Giá trị ước tínhTriệu VND
Tài sản bảo đảm và khoản bảo lãnh khác,Tài sản bảo đảm và khoản bảo lãnh khác,Tài sản bảo đảm và khoản bảo lãnh khác,Tài sản bảo đảm và khoản bảo lãnh khác,Tài sản bảo đảm và khoản bảo lãnh khác,,
▪ Cổ phiếu của các tổ chức tín dụng khác,Tài sản bảo đảm và khoản bảo lãnh khác > ▪ Cổ phiếu của các tổ chức tín dụng khác,▪ Cổ phiếu của các tổ chức tín dụng khác,3.347.548,3.636.748,3347548.0,3636748.0
▪ Cổ phiếu của doanh nghiệp chưa niêm yết - công ty cổ phần,Tài sản bảo đảm và khoản bảo lãnh khác > ▪ Cổ phiếu của doanh nghiệp chưa niêm yết - công ty cổ phần,▪ Cổ phiếu của doanh nghiệp chưa niêm yết - công ty cổ phần,653.259,775.243,653259.0,775243.0
▪ Vốn góp vào doanh nghiệp - công ty TNHH,Tài sản bảo đảm và khoản bảo lãnh khác > ▪ Vốn góp vào doanh nghiệp - công ty TNHH,▪ Vốn góp vào doanh nghiệp - công ty TNHH,59.692,109.801,59692.0,109801.0
▪ Các khoản phải thu,Tài sản bảo đảm và khoản bảo lãnh khác > ▪ Các khoản phải thu,▪ Các khoản phải thu,101.195,101.032,101195.0,101032.0
▪ Thư bảo lãnh của ngân hàng khác,Tài sản bảo đảm và khoản bảo lãnh khác > ▪ Thư bảo lãnh của ngân hàng khác,▪ Thư bảo lãnh của ngân hàng khác,300.000,300.000,300000.0,300000.0
,,,4.461.694,4.922.824,4461694.0,4922824.0
Nguồn trả nợ khác,Nguồn trả nợ khác,Nguồn trả nợ khác,Nguồn trả nợ khác,Nguồn trả nợ khác,,
▪ Tiền gửi tại Ngân hàng,Nguồn trả nợ khác > ▪ Tiền gửi tại Ngân hàng,▪ Tiền gửi tại Ngân hàng,17.987,42.832,17987.0,42832.0
,,,4.479.681,4.965.656,4479681.0,4965656.0
