row_label_raw,row_label_full,col_0,31/12/2016 > Số cổ phiếu,31/12/2016 > Mệnh giá Triệu VND,31/12/2016 > Giá trị ghi số Triệu VND,31/12/2015 > Số cổ phiếu,31/12/2015 > Mệnh giá Triệu VND,31/12/2015 > Giá trị ghi số Triệu VND,numeric__31/12/2016 > Số cổ phiếu,numeric__31/12/2016 > Mệnh giá Triệu VND,numeric__31/12/2016 > Giá trị ghi số Triệu VND,numeric__31/12/2015 > Số cổ phiếu,numeric__31/12/2015 > Mệnh giá Triệu VND,numeric__31/12/2015 > Giá trị ghi số Triệu VND
Vốn cổ phần được duyệt,Vốn cổ phần được duyệt,Vốn cổ phần được duyệt,937.696.506,9.376.965,9.376.965,937.696.506,9.376.965,9.376.965,937696506.0,9376965.0,9376965.0,937696506.0,9376965.0,9376965.0
Vốn cổ phần đã phát hànhCổ phiếu phổ thông,Vốn cổ phần đã phát hànhCổ phiếu phổ thông,Vốn cổ phần đã phát hànhCổ phiếu phổ thông,937.696.506,9.376.965,9.376.965,937.696.506,9.376.965,9.376.965,937696506.0,9376965.0,9376965.0,937696506.0,9376965.0,9376965.0
Cổ phiếu quỹCổ phiếu phổ thông,Cổ phiếu quỹCổ phiếu phổ thông,Cổ phiếu quỹCổ phiếu phổ thông,(41.422.608),(414.226),(665.725),(41.422.608),(414.226),(665.725),-41422608.0,-414226.0,-665725.0,-41422608.0,-414226.0,-665725.0
Số cổ phiếu hiện đang lưu hànhCổ phiếu phổ thông,Số cổ phiếu hiện đang lưu hànhCổ phiếu phổ thông,Số cổ phiếu hiện đang lưu hànhCổ phiếu phổ thông,896.273.898,8.962.739,8.711.240,896.273.898,8.962.739,8.711.240,896273898.0,8962739.0,8711240.0,896273898.0,8962739.0,8711240.0
